code,name,shares,cost,close,pnl_pct,status,entry_date
1314,中石化,4000.0,8.73,8.12,-0.06987399770904934,LEGACY_REVIEW,
2002,中鋼,6000.0,19.13,18.9,-0.012023000522739191,LEGACY_REVIEW,
2752,豆府,1000.0,189.0,177.0,-0.06349206349206349,LEGACY_REVIEW,
2890,永豐金,,28.0,43.7,0.5607142857142857,LEGACY_REVIEW,
009829,009829,5000.0,11.34,10.85,-0.043209876543209846,LEGACY_REVIEW,2026-09-08
