trade_date,market,stock_id,name,raw_json
2026-08-26,TWSE,1605,華新            ,"{""證券代號"":""1605"",""證券名稱"":""華新            "",""外陸資買進股數(不含外資自營商)"":""16,199,811"",""外陸資賣出股數(不含外資自營商)"":""5,709,250"",""外陸資買賣超股數(不含外資自營商)"":""10,490,561"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""6,000"",""投信賣出股數"":""1,834"",""投信買賣超股數"":""4,166"",""自營商買賣超股數"":""783,727"",""自營商買進股數(自行買賣)"":""318,000"",""自營商賣出股數(自行買賣)"":""24,000"",""自營商買賣超股數(自行買賣)"":""294,000"",""自營商買進股數(避險)"":""562,736"",""自營商賣出股數(避險)"":""73,009"",""自營商買賣超股數(避險)"":""489,727"",""三大法人買賣超股數"":""11,278,454""}"
2026-08-26,TWSE,2892,第一金          ,"{""證券代號"":""2892"",""證券名稱"":""第一金          "",""外陸資買進股數(不含外資自營商)"":""21,019,867"",""外陸資賣出股數(不含外資自營商)"":""9,798,431"",""外陸資買賣超股數(不含外資自營商)"":""11,221,436"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""2,000"",""投信賣出股數"":""1,671,154"",""投信買賣超股數"":""-1,669,154"",""自營商買賣超股數"":""413,307"",""自營商買進股數(自行買賣)"":""123,000"",""自營商賣出股數(自行買賣)"":""7,084"",""自營商買賣超股數(自行買賣)"":""115,916"",""自營商買進股數(避險)"":""340,000"",""自營商賣出股數(避險)"":""42,609"",""自營商買賣超股數(避險)"":""297,391"",""三大法人買賣超股數"":""9,965,589""}"
2026-08-26,TWSE,2313,華通            ,"{""證券代號"":""2313"",""證券名稱"":""華通            "",""外陸資買進股數(不含外資自營商)"":""14,379,643"",""外陸資賣出股數(不含外資自營商)"":""8,328,423"",""外陸資買賣超股數(不含外資自營商)"":""6,051,220"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""2,634,000"",""投信賣出股數"":""111,000"",""投信買賣超股數"":""2,523,000"",""自營商買賣超股數"":""342,591"",""自營商買進股數(自行買賣)"":""255,000"",""自營商賣出股數(自行買賣)"":""143,000"",""自營商買賣超股數(自行買賣)"":""112,000"",""自營商買進股數(避險)"":""416,012"",""自營商賣出股數(避險)"":""185,421"",""自營商買賣超股數(避險)"":""230,591"",""三大法人買賣超股數"":""8,916,811""}"
2026-08-26,TWSE,6116,彩晶            ,"{""證券代號"":""6116"",""證券名稱"":""彩晶            "",""外陸資買進股數(不含外資自營商)"":""14,218,619"",""外陸資賣出股數(不含外資自營商)"":""5,784,949"",""外陸資買賣超股數(不含外資自營商)"":""8,433,670"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""289,381"",""自營商買進股數(自行買賣)"":""56,000"",""自營商賣出股數(自行買賣)"":""72,000"",""自營商買賣超股數(自行買賣)"":""-16,000"",""自營商買進股數(避險)"":""421,728"",""自營商賣出股數(避險)"":""116,347"",""自營商買賣超股數(避險)"":""305,381"",""三大法人買賣超股數"":""8,723,051""}"
2026-08-26,TWSE,2618,長榮航          ,"{""證券代號"":""2618"",""證券名稱"":""長榮航          "",""外陸資買進股數(不含外資自營商)"":""22,503,350"",""外陸資賣出股數(不含外資自營商)"":""13,805,084"",""外陸資買賣超股數(不含外資自營商)"":""8,698,266"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""26,000"",""投信賣出股數"":""22,593"",""投信買賣超股數"":""3,407"",""自營商買賣超股數"":""-159,910"",""自營商買進股數(自行買賣)"":""80,000"",""自營商賣出股數(自行買賣)"":""58,000"",""自營商買賣超股數(自行買賣)"":""22,000"",""自營商買進股數(避險)"":""117,194"",""自營商賣出股數(避險)"":""299,104"",""自營商買賣超股數(避險)"":""-181,910"",""三大法人買賣超股數"":""8,541,763""}"
2026-08-26,TWSE,2615,萬海            ,"{""證券代號"":""2615"",""證券名稱"":""萬海            "",""外陸資買進股數(不含外資自營商)"":""39,153,355"",""外陸資賣出股數(不含外資自營商)"":""30,477,104"",""外陸資買賣超股數(不含外資自營商)"":""8,676,251"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""27,000"",""投信賣出股數"":""334"",""投信買賣超股數"":""26,666"",""自營商買賣超股數"":""-836,079"",""自營商買進股數(自行買賣)"":""842,286"",""自營商賣出股數(自行買賣)"":""830,000"",""自營商買賣超股數(自行買賣)"":""12,286"",""自營商買進股數(避險)"":""446,835"",""自營商賣出股數(避險)"":""1,295,200"",""自營商買賣超股數(避險)"":""-848,365"",""三大法人買賣超股數"":""7,866,838""}"
2026-08-26,TWSE,2002,中鋼            ,"{""證券代號"":""2002"",""證券名稱"":""中鋼            "",""外陸資買進股數(不含外資自營商)"":""15,842,476"",""外陸資賣出股數(不含外資自營商)"":""8,830,770"",""外陸資買賣超股數(不含外資自營商)"":""7,011,706"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""500,408"",""自營商買進股數(自行買賣)"":""269,000"",""自營商賣出股數(自行買賣)"":""8,000"",""自營商買賣超股數(自行買賣)"":""261,000"",""自營商買進股數(避險)"":""307,408"",""自營商賣出股數(避險)"":""68,000"",""自營商買賣超股數(避險)"":""239,408"",""三大法人買賣超股數"":""7,512,114""}"
2026-08-26,TWSE,2887,台新新光金      ,"{""證券代號"":""2887"",""證券名稱"":""台新新光金      "",""外陸資買進股數(不含外資自營商)"":""33,390,825"",""外陸資賣出股數(不含外資自營商)"":""26,656,185"",""外陸資買賣超股數(不含外資自營商)"":""6,734,640"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""333,000"",""投信賣出股數"":""9,195"",""投信買賣超股數"":""323,805"",""自營商買賣超股數"":""437,593"",""自營商買進股數(自行買賣)"":""319,472"",""自營商賣出股數(自行買賣)"":""104,353"",""自營商買賣超股數(自行買賣)"":""215,119"",""自營商買進股數(避險)"":""642,508"",""自營商賣出股數(避險)"":""420,034"",""自營商買賣超股數(避險)"":""222,474"",""三大法人買賣超股數"":""7,496,038""}"
2026-08-26,TWSE,2324,仁寶            ,"{""證券代號"":""2324"",""證券名稱"":""仁寶            "",""外陸資買進股數(不含外資自營商)"":""27,901,852"",""外陸資賣出股數(不含外資自營商)"":""20,905,784"",""外陸資買賣超股數(不含外資自營商)"":""6,996,068"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""5,000"",""投信賣出股數"":""79,490"",""投信買賣超股數"":""-74,490"",""自營商買賣超股數"":""248,245"",""自營商買進股數(自行買賣)"":""172,000"",""自營商賣出股數(自行買賣)"":""18,771"",""自營商買賣超股數(自行買賣)"":""153,229"",""自營商買進股數(避險)"":""615,519"",""自營商賣出股數(避險)"":""520,503"",""自營商買賣超股數(避險)"":""95,016"",""三大法人買賣超股數"":""7,169,823""}"
2026-08-26,TWSE,2337,旺宏            ,"{""證券代號"":""2337"",""證券名稱"":""旺宏            "",""外陸資買進股數(不含外資自營商)"":""12,042,892"",""外陸資賣出股數(不含外資自營商)"":""5,520,395"",""外陸資買賣超股數(不含外資自營商)"":""6,522,497"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""3,000"",""投信賣出股數"":""28,000"",""投信買賣超股數"":""-25,000"",""自營商買賣超股數"":""245,151"",""自營商買進股數(自行買賣)"":""417,000"",""自營商賣出股數(自行買賣)"":""200,000"",""自營商買賣超股數(自行買賣)"":""217,000"",""自營商買進股數(避險)"":""105,891"",""自營商賣出股數(避險)"":""77,740"",""自營商買賣超股數(避險)"":""28,151"",""三大法人買賣超股數"":""6,742,648""}"
