code,name,shares,cost,close,pnl_pct,status,entry_date
1314,中石化,4000.0,8.73,8.13,-0.06872852233676974,LEGACY_REVIEW,
2002,中鋼,6000.0,19.13,19.1,-0.001568217459487542,LEGACY_REVIEW,
2752,豆府,1000.0,189.0,179.5,-0.050264550264550234,LEGACY_REVIEW,
2890,永豐金,,28.0,42.9,0.532142857142857,LEGACY_REVIEW,
009829,009829,5000.0,11.34,11.15,-0.016754850088183337,LEGACY_REVIEW_RAW_OFFICIAL,2026-09-08
