decision_date,execute_date,side,code,shares,limit_price,filled,reason,fill_price,target_cash
20210503,20210504,SELL,6015,104,,True,R7_RANK_EXIT,22.5,
20210503,20210504,BUY,2609,4000,85.9,True,R10_FIXED_T1_LIMIT,85.9,386327.56401399995
20210503,20210504,BUY,2495,1000,24.55,True,R10_FIXED_T1_LIMIT,23.2,42433.786013999954
20210504,20210505,SELL,2609,4000,,True,R7_RANK_EXIT,81.2,
20210504,20210505,BUY,1441,22000,15.350000000000001,True,R10_FIXED_T1_LIMIT,15.3,342502.8483139999
20210506,20210507,SELL,2353,9000,,True,R05_MAX_HOLD_60,35.300000000000004,
20210507,20210510,SELL,1441,22000,,True,R7_HARD_STOP,13.350000000000001,
20210507,20210510,BUY,2889,20000,17.900000000000002,True,R10_FIXED_T1_LIMIT,17.9,361717.6435628
20210512,20210513,SELL,2460,12000,,True,R05_MEGA_TRAIL,30.25,
20210512,20210513,SELL,2495,1000,,True,R7_REGIME_EXIT,23.85,
20210517,20210518,SELL,2889,20000,,True,R05_HARD_STOP,15.8,
20210526,20210527,BUY,2642,2000,63.1,False,LIMIT_NOT_TOUCHED,,
20210526,20210527,BUY,2615,1000,125.0,False,LIMIT_NOT_TOUCHED,,
20210528,20210531,BUY,2642,2000,76.2,False,LIMIT_NOT_TOUCHED,,
20210528,20210531,BUY,5475,7000,21.150000000000002,True,R10_FIXED_T1_LIMIT,21.15,160879.002328836
20210528,20210531,BUY,2615,1000,151.0,True,R10_FIXED_T1_LIMIT,151.0,160879.002328836
20210601,20210602,BUY,8064,8000,18.25,True,R10_FIXED_T1_LIMIT,18.25,148539.12658326002
20210601,20210602,BUY,3033,6000,24.6,True,R10_FIXED_T1_LIMIT,24.4,148539.12658326002
20210616,20210617,SELL,5475,7000,,True,R7_RANK_EXIT,26.35,
20210616,20210617,SELL,2615,1000,,True,R7_RANK_EXIT,209.0,
20210616,20210617,BUY,2641,11000,27.6,False,LIMIT_NOT_TOUCHED,,
20210616,20210617,BUY,2614,11000,27.900000000000002,True,R10_FIXED_T1_LIMIT,27.9,317392.2459712179
20210617,20210618,BUY,2641,10000,30.35,False,LIMIT_NOT_TOUCHED,,
20210621,20210622,SELL,2614,11000,,True,R7_RANK_EXIT,37.800000000000004,
20210621,20210622,BUY,2636,1000,201.0,True,R10_FIXED_T1_LIMIT,201.0,392360.22948408
20210621,20210622,BUY,2641,10000,36.75,False,LIMIT_NOT_TOUCHED,,
20210623,20210624,SELL,2636,1000,,True,R7_RANK_EXIT,191.0,
20210623,20210624,BUY,6640,2000,149.5,True,R10_FIXED_T1_LIMIT,140.5,396402.78140408
20210623,20210624,BUY,2481,5000,73.0,True,R10_FIXED_T1_LIMIT,73.0,396402.78140408
20210707,20210708,SELL,6640,2000,,True,R7_RANK_EXIT,176.0,
20210707,20210708,SELL,2481,5000,,True,R7_RANK_EXIT,94.9,
