decision_date,execute_date,side,code,shares,limit_price,filled,reason,fill_price
20210503,20210504,SELL,5864,9000,,True,R7_RANK_EXIT,26.450000000000003
20210503,20210504,SELL,6015,9000,,True,R7_RANK_EXIT,22.150000000000002
20210503,20210504,BUY,2609,2000,85.9,True,R7_DEEP_LIMIT,85.9
20210503,20210504,BUY,2495,8000,24.55,True,R7_DEEP_LIMIT,23.35
20210503,20210504,BUY,2617,4000,45.400000000000006,True,R7_DEEP_LIMIT,45.400000000000006
20210504,20210505,SELL,2609,2000,,True,R7_RANK_EXIT,80.0
20210504,20210505,SELL,2617,4000,,True,R7_RANK_EXIT,42.35
20210504,20210505,BUY,1441,13000,15.350000000000001,True,R7_DEEP_LIMIT,15.350000000000001
20210504,20210505,BUY,1460,17000,12.4,True,R7_DEEP_LIMIT,11.55
20210507,20210510,SELL,1441,13000,,True,R7_HARD_STOP,13.15
20210512,20210513,SELL,2495,8000,,True,R7_REGIME_EXIT,23.5
20210512,20210513,SELL,1460,17000,,True,R7_REGIME_EXIT,10.950000000000001
20210526,20210527,BUY,2642,2000,63.1,False,LIMIT_NOT_TOUCHED,
20210526,20210527,BUY,2615,200,125.0,False,LIMIT_NOT_TOUCHED,
20210528,20210531,BUY,2642,2000,76.2,False,LIMIT_NOT_TOUCHED,
20210528,20210531,BUY,5475,9000,21.150000000000002,True,R7_DEEP_LIMIT,21.150000000000002
20210528,20210531,BUY,2615,1000,151.0,True,R7_DEEP_LIMIT,151.0
20210616,20210617,SELL,5475,9000,,True,R7_RANK_EXIT,25.950000000000003
20210616,20210617,SELL,2615,1000,,True,R7_RANK_EXIT,206.0
20210616,20210617,BUY,2641,8000,27.6,False,LIMIT_NOT_TOUCHED,
20210616,20210617,BUY,2614,8000,27.900000000000002,True,R7_DEEP_LIMIT,27.900000000000002
20210616,20210617,BUY,8406,1000,220.5,False,LIMIT_NOT_TOUCHED,
20210617,20210618,BUY,2641,7000,30.35,False,LIMIT_NOT_TOUCHED,
20210617,20210618,BUY,5608,4000,51.7,False,LIMIT_NOT_TOUCHED,
20210617,20210618,BUY,2383,1000,209.5,True,R7_DEEP_LIMIT,209.5
20210621,20210622,SELL,2614,8000,,True,R7_RANK_EXIT,37.2
20210621,20210622,SELL,2383,1000,,True,R7_RANK_EXIT,212.5
20210621,20210622,BUY,2636,1000,201.0,True,R7_DEEP_LIMIT,201.0
20210621,20210622,BUY,2641,6000,36.75,False,LIMIT_NOT_TOUCHED,
20210623,20210624,SELL,2636,1000,,True,R7_RANK_EXIT,188.0
20210623,20210624,BUY,6640,1000,149.5,True,R7_DEEP_LIMIT,141.5
20210623,20210624,BUY,2481,3000,73.0,True,R7_DEEP_LIMIT,73.0
20210623,20210624,BUY,3515,1000,209.0,True,R7_DEEP_LIMIT,209.0
20210623,20210624,BUY,3218,500,405.5,True,R7_DEEP_LIMIT,405.5
20210625,20210628,SELL,3218,500,,True,R7_HARD_STOP,349.5
20210707,20210708,SELL,6640,1000,,True,R7_RANK_EXIT,173.0
20210707,20210708,SELL,2481,3000,,True,R7_RANK_EXIT,93.4
20210707,20210708,SELL,3515,1000,,True,R7_RANK_EXIT,185.0
20210707,20210708,BUY,2851,6000,39.75,True,R7_DEEP_LIMIT,39.75
20210707,20210708,BUY,3268,5000,44.5,True,R7_DEEP_LIMIT,44.5
20210709,20210712,SELL,2851,6000,,True,R7_HARD_STOP,34.300000000000004
20210709,20210712,SELL,3268,5000,,True,R7_RANK_EXIT,41.45
20210709,20210712,BUY,6573,7000,29.400000000000002,False,LIMIT_NOT_TOUCHED,
20210709,20210712,BUY,2614,4000,57.800000000000004,False,LIMIT_NOT_TOUCHED,
20210712,20210713,BUY,2614,3000,63.6,False,LIMIT_NOT_TOUCHED,
20210712,20210713,BUY,6573,1000,32.2,True,R7_DEEP_LIMIT,32.2
20210713,20210714,SELL,6573,1000,,True,R7_RANK_EXIT,29.75
20210713,20210714,BUY,2614,3000,67.9,True,R7_DEEP_LIMIT,64.2
20210713,20210714,BUY,8110,9000,25.450000000000003,True,R7_DEEP_LIMIT,25.450000000000003
20210713,20210714,BUY,6215,6000,35.15,True,R7_DEEP_LIMIT,34.2
20210713,20210714,BUY,4952,3000,76.10000000000001,True,R7_DEEP_LIMIT,76.10000000000001
20210715,20210716,SELL,2614,3000,,True,R7_HARD_STOP,49.550000000000004
20210715,20210716,SELL,8110,9000,,True,R7_HARD_STOP,21.05
20210719,20210720,SELL,6215,6000,,True,R7_RANK_EXIT,35.0
20210719,20210720,BUY,6104,2000,109.0,True,R7_DEEP_LIMIT,109.0
20210720,20210721,SELL,4952,3000,,True,R7_RANK_EXIT,88.5
20210720,20210721,BUY,9962,1000,22.8,False,LIMIT_NOT_TOUCHED,
20210721,20210722,SELL,6104,2000,,True,R7_EXPOSURE_EXIT,120.0
20210723,20210726,BUY,6226,13000,16.7,True,R7_DEEP_LIMIT,16.7
20210723,20210726,BUY,9962,9000,25.05,True,R7_DEEP_LIMIT,23.200000000000003
20210726,20210727,SELL,6226,13000,,True,R7_RANK_EXIT,16.45
20210726,20210727,SELL,9962,9000,,True,R7_RANK_EXIT,23.3
20210726,20210727,BUY,3556,1000,108.0,True,R7_DEEP_LIMIT,108.0
20210726,20210727,BUY,6525,200,120.0,True,R7_DEEP_LIMIT,120.0
20210728,20210729,SELL,3556,1000,,True,R7_RANK_EXIT,100.5
20210728,20210729,SELL,6525,200,,True,R7_RANK_EXIT,113.0
20210728,20210729,BUY,6568,900,201.5,True,R7_DEEP_LIMIT,201.5
20210728,20210729,BUY,3221,1000,33.300000000000004,False,LIMIT_NOT_TOUCHED,
20210729,20210730,SELL,6568,900,,True,R7_RANK_EXIT,196.5
20210729,20210730,BUY,3663,6000,37.4,False,LIMIT_NOT_TOUCHED,
20210729,20210730,BUY,3221,6000,36.65,True,R7_DEEP_LIMIT,36.65
20210729,20210730,BUY,3031,8000,26.950000000000003,False,LIMIT_NOT_TOUCHED,
20210730,20210802,SELL,3221,6000,,True,R7_RANK_EXIT,35.25
20210730,20210802,BUY,3031,6000,29.55,True,R7_DEEP_LIMIT,29.55
20210730,20210802,BUY,3663,800,39.75,True,R7_DEEP_LIMIT,39.75
20210803,20210804,SELL,3031,6000,,True,R7_RANK_EXIT,29.200000000000003
20210803,20210804,BUY,1783,3000,61.2,True,R7_DEEP_LIMIT,61.2
20210803,20210804,BUY,5321,3000,59.7,True,R7_DEEP_LIMIT,59.7
20210804,20210805,BUY,6164,12000,17.8,True,R7_DEEP_LIMIT,17.8
20210811,20210812,SELL,3663,800,,True,R7_RANK_EXIT,40.050000000000004
20210811,20210812,SELL,1783,3000,,True,R7_RANK_EXIT,65.2
20210811,20210812,SELL,6164,12000,,True,R7_EXPOSURE_EXIT,17.0
20210811,20210812,BUY,1773,100,186.0,True,R7_DEEP_LIMIT,156.0
20210812,20210813,SELL,5321,3000,,True,R7_RANK_EXIT,56.900000000000006
20210812,20210813,SELL,1773,100,,True,R7_RANK_EXIT,129.5
20210812,20210813,BUY,8478,2000,93.9,True,R7_DEEP_LIMIT,93.9
20210812,20210813,BUY,2538,18000,11.9,True,R7_DEEP_LIMIT,11.9
20210812,20210813,BUY,3583,3000,67.60000000000001,True,R7_DEEP_LIMIT,67.60000000000001
20210813,20210816,SELL,8478,2000,,True,R7_REGIME_EXIT,86.7
20210813,20210816,SELL,2538,18000,,True,R7_REGIME_EXIT,11.8
20210813,20210816,SELL,3583,3000,,True,R7_REGIME_EXIT,64.2
20210830,20210831,BUY,3689,4000,41.5,True,R7_DEEP_LIMIT,41.5
20210830,20210831,BUY,2013,400,72.7,True,R7_DEEP_LIMIT,72.7
20210902,20210903,SELL,2013,400,,True,R7_EXPOSURE_EXIT,72.60000000000001
20210906,20210907,SELL,3689,4000,,True,R7_REGIME_EXIT,43.800000000000004
20210927,20210928,BUY,5321,1000,104.5,True,R7_DEEP_LIMIT,104.5
20210927,20210928,BUY,2314,400,78.4,True,R7_DEEP_LIMIT,78.4
20210928,20210929,SELL,5321,1000,,True,R7_REGIME_EXIT,104.5
20210928,20210929,SELL,2314,400,,True,R7_REGIME_EXIT,76.4
20211019,20211020,BUY,4743,700,234.0,False,LIMIT_NOT_TOUCHED,
20211019,20211020,BUY,1721,1000,17.150000000000002,True,R7_DEEP_LIMIT,17.150000000000002
20211025,20211026,SELL,1721,1000,,True,R7_RANK_EXIT,17.75
20211025,20211026,BUY,2498,3000,51.900000000000006,False,LIMIT_NOT_TOUCHED,
