date,cash,market_value,nav,peak_nav,drawdown,holdings,exposure
20210104,1300000.0,0.0,1300000.0,1300000.0,0.0,0,0.0
20210105,890199.9202499999,402650.0,1292849.92025,1300000.0,-0.005500061346153884,2,0.31144372884529326
20210106,645991.3002499999,629500.0,1275491.3002499999,1300000.0,-0.018852845961538578,3,0.49353531449145616
20210107,416545.2914999998,850850.0,1267395.2914999998,1300000.0,-0.02508054500000012,4,0.6713375106459437
20210108,416545.2914999998,822100.0,1238645.2914999998,1300000.0,-0.04719592961538477,4,0.6637089775753611
20210111,416545.2914999998,833400.0,1249945.2914999998,1300000.0,-0.0385036219230771,4,0.666749181478076
20210112,416545.2914999998,804250.0,1220795.2914999998,1300000.0,-0.06092669884615398,4,0.6587918593721084
20210113,449852.4092499998,780950.0,1230802.4092499998,1300000.0,-0.05322891596153867,4,0.6345047703277399
20210114,637924.5852499998,608550.0,1246474.5852499998,1300000.0,-0.041173395961538684,3,0.4882169337435355
20210115,391113.7422499998,859900.0,1251013.7422499997,1300000.0,-0.037681736730769466,4,0.6873625532309777
20210118,391113.7422499998,903450.0,1294563.7422499997,1300000.0,-0.004181736730769492,4,0.697879888424629
20210119,391113.7422499998,911900.0,1303013.7422499997,1303013.7422499997,0.0,4,0.6998391271187687
20210120,391113.7422499998,888650.0,1279763.7422499997,1303013.7422499997,-0.0178432500334591,4,0.6943859797415668
20210121,595771.7324999998,679750.0,1275521.7325,1303013.7422499997,-0.021098787264152263,3,0.5329191833272038
20210122,595771.7324999998,692000.0,1287771.7325,1303013.7422499997,-0.011697504988458785,3,0.537362315490956
20210125,595771.7324999998,697450.0,1293221.7325,1303013.7422499997,-0.007514893690293123,3,0.5393120007747783
20210126,804991.7341099997,477177.5,1282169.2341099996,1303013.7422499997,-0.015997151422214806,3,0.3721642099229017
20210127,804991.7341099997,488419.0,1293410.7341099996,1303013.7422499997,-0.007369844099585521,3,0.37762095761180053
20210128,568539.7403599997,750011.0,1318550.7403599997,1318550.7403599997,0.0,4,0.5688146667721159
20210129,568539.7403599997,715572.0,1284111.7403599997,1318550.7403599997,-0.02611882800247578,4,0.5572505705768175
20210201,81422.69523999977,1192450.0,1273872.6952399998,1318550.7403599997,-0.03388420616092602,5,0.9360825492655217
20210202,81422.69523999977,1186700.0,1268122.6952399998,1318550.7403599997,-0.038245054647067844,5,0.9357927308251588
20210203,244843.04187499976,1018342.0,1263185.0418749996,1318550.7403599997,-0.04198981259521628,5,0.8061700908747552
20210204,244843.04187499976,1042948.0,1287791.0418749996,1318550.7403599997,-0.023328414708259082,5,0.8098736255235067
20210205,523173.1416999998,763400.0,1286573.1416999998,1318550.7403599997,-0.02425208047076688,4,0.5933591921492233
