strategy,order_date,code,limit,open,low,expected,actual,expected_fill,actual_fill,status_match,fill_match,match,reason
R7,20210720,6104,109.0,108.0,106.0,FILLED,FILLED,109.0,108.0,True,False,False,
R7,20210721,9962,22.8,25.6,25.15,MISSED,MISSED,,,True,True,True,
R7,20210721,6727,103.5,116.5,116.5,MISSED,MISSED,,,True,True,True,
R7,20210726,6226,16.7,17.3,15.7,FILLED,FILLED,16.7,16.7,True,True,True,
R7,20210726,4945,83.30000000000001,88.0,83.2,FILLED,FILLED,83.3,83.30000000000001,True,True,True,
R7,20210727,3556,108.0,112.0,101.5,FILLED,FILLED,108.0,108.0,True,True,True,
R7,20210727,6568,196.0,210.5,201.0,MISSED,MISSED,,,True,True,True,
R7,20210730,3663,37.4,38.15,37.65,MISSED,MISSED,,,True,True,True,
R7,20210730,3221,36.65,37.0,35.9,FILLED,FILLED,36.65,36.65,True,True,True,
R7,20210730,6143,63.7,64.6,62.0,FILLED,FILLED,63.7,63.7,True,True,True,
R7,20210802,3663,39.75,42.0,39.05,FILLED,FILLED,39.75,39.75,True,True,True,
R7,20210802,3031,29.55,30.5,28.25,FILLED,FILLED,29.55,29.55,True,True,True,
R7,20210804,5321,59.7,60.2,58.3,FILLED,FILLED,59.7,59.7,True,True,True,
R7,20210804,1783,61.2,63.0,59.1,FILLED,FILLED,61.2,61.2,True,True,True,
R7,20210813,8478,93.9,94.7,87.5,FILLED,FILLED,93.9,93.9,True,True,True,
R7,20210813,2538,11.9,12.15,11.85,FILLED,FILLED,11.9,11.9,True,True,True,
R7,20210813,3583,67.60000000000001,68.3,65.3,FILLED,FILLED,67.6,67.60000000000001,True,True,True,
R7,20210831,2013,72.7,74.1,72.0,FILLED,FILLED,72.7,72.7,True,True,True,
R7,20210831,3689,41.5,42.9,41.05,FILLED,FILLED,41.5,41.5,True,True,True,
R7,20210928,5321,104.5,110.0,104.5,FILLED,FILLED,104.5,104.5,True,True,True,
R7,20210928,2314,78.4,78.1,77.5,FILLED,FILLED,78.4,78.1,True,False,False,
R7,20211020,4743,234.0,240.0,240.0,MISSED,MISSED,,,True,True,True,
R7,20211020,1721,17.150000000000002,17.35,17.0,FILLED,FILLED,17.15,17.150000000000002,True,True,True,
R7,20211027,2498,57.1,59.5,58.3,MISSED,MISSED,,,True,True,True,
R7,20211029,2498,58.5,59.1,59.1,MISSED,MISSED,,,True,True,True,
R7,20211029,3491,111.0,119.0,115.0,MISSED,MISSED,,,True,True,True,
R7,20211101,3491,122.0,129.0,128.5,MISSED,MISSED,,,True,True,True,
R7,20211101,3508,30.450000000000003,33.5,32.8,MISSED,MISSED,,,True,True,True,
R7,20211102,3491,133.5,140.0,128.5,FILLED,FILLED,133.5,133.5,True,True,True,
R7,20211102,3508,33.5,35.0,33.05,FILLED,FILLED,33.5,33.5,True,True,True,
R7,20211112,6118,23.05,25.2,24.6,MISSED,MISSED,,,True,True,True,
R7,20211116,6118,27.85,29.9,26.05,FILLED,FILLED,27.85,27.85,True,True,True,
R7,20211202,2497,67.2,68.7,65.0,FILLED,FILLED,67.2,67.2,True,True,True,
R7,20211202,3532,258.5,264.0,252.5,FILLED,FILLED,258.5,258.5,True,True,True,
R7,20211203,6243,69.5,67.8,67.2,FILLED,FILLED,68.2,67.8,True,False,False,
R7,20211203,6446,235.0,243.0,238.0,MISSED,MISSED,,,True,True,True,
R7,20211207,5245,78.80000000000001,85.0,84.6,MISSED,MISSED,,,True,True,True,
R7,20211207,6446,262.0,279.5,279.5,MISSED,MISSED,,,True,True,True,
R7,20211207,6235,27.450000000000003,29.9,28.55,MISSED,MISSED,,,True,True,True,
R7,20211208,5245,86.7,90.0,90.0,MISSED,MISSED,,,True,True,True,
R7,20211208,6446,284.0,294.0,294.0,MISSED,MISSED,,,True,True,True,
R7,20211208,3508,66.4,72.5,65.5,FILLED,FILLED,66.4,66.4,True,True,True,
R7,20211208,5344,33.95,37.0,32.75,FILLED,FILLED,33.95,33.95,True,True,True,
R7,20211209,5245,93.2,97.0,90.0,FILLED,FILLED,93.2,93.2,True,True,True,
R7,20211209,6134,28.700000000000003,30.9,29.3,MISSED,MISSED,,,True,True,True,
R7,20211213,6134,28.950000000000003,30.1,30.1,MISSED,MISSED,,,True,True,True,
R7,20211213,2405,16.6,18.6,18.6,MISSED,MISSED,,,True,True,True,
R7,20211213,6576,120.5,127.0,120.0,FILLED,FILLED,120.5,120.5,True,True,True,
R7,20211215,2405,19.75,19.0,18.25,FILLED,FILLED,19.1,19.0,True,False,False,
R7,20211215,2406,33.45,33.5,33.25,FILLED,FILLED,33.45,33.45,True,True,True,
R7,20211217,2495,20.35,20.85,19.5,FILLED,FILLED,20.35,20.35,True,True,True,
R7,20211217,8478,167.5,177.0,162.0,FILLED,FILLED,167.5,167.5,True,True,True,
R7,20211224,6266,23.950000000000003,25.95,25.15,MISSED,MISSED,,,True,True,True,
R7,20220110,4939,27.0,27.5,27.1,MISSED,MISSED,,,True,True,True,
R7,20220110,1732,44.5,48.75,47.45,MISSED,MISSED,,,True,True,True,
R7,20220110,6266,34.300000000000004,35.0,34.5,MISSED,MISSED,,,True,True,True,
R7,20220124,3036,87.4,88.0,83.1,FILLED,FILLED,87.4,87.4,True,True,True,
R7,20220124,3017,97.2,98.5,94.0,FILLED,FILLED,97.2,97.2,True,True,True,
R7,20220208,1529,28.55,31.0,28.5,FILLED,FILLED,28.55,28.55,True,True,True,
R7,20220208,8210,87.4,90.3,88.2,MISSED,MISSED,,,True,True,True,
R7,20220209,4174,132.0,133.0,127.5,FILLED,FILLED,132.0,132.0,True,True,True,
R7,20220209,3219,114.0,117.0,112.0,FILLED,FILLED,114.0,114.0,True,True,True,
R7,20220215,8440,40.95,41.8,41.45,MISSED,MISSED,,,True,True,True,
R7,20220217,1709,29.75,30.3,30.15,MISSED,MISSED,,,True,True,True,
R7,20220217,1712,33.800000000000004,34.3,33.9,MISSED,MISSED,,,True,True,True,
