date,code,market,event_type,official_prev_close,reference_price,cash_dividend_per_share,stock_shares_per_1000,continuity_bridge,source
20200708,9188,TWSE,息,3.08,2.98,0.10000000000000009,0.0,1.0335570469798658,TWSE_TWT49U
20200709,1232,TWSE,息,127.0,122.0,5.0,0.0,1.040983606557377,TWSE_TWT49U
20200709,1338,TWSE,息,59.1,55.6,3.5,0.0,1.0629496402877698,TWSE_TWT49U
20200709,1464,TWSE,息,21.65,20.15,1.5,0.0,1.0744416873449132,TWSE_TWT49U
20200709,1476,TWSE,息,345.5,334.5,11.0,0.0,1.0328849028400597,TWSE_TWT49U
20200709,1521,TWSE,息,63.5,59.5,4.0,0.0,1.0672268907563025,TWSE_TWT49U
20200709,1580,TPEX,除息,88.4,83.4,5.0,0.0,1.0599520383693046,TPEX_exDailyQ
20200709,1708,TWSE,權息,27.3,24.53,2.7699999999999996,0.0,1.112922951487974,TWSE_TWT49U
20200709,1713,TWSE,息,18.55,17.97,0.5800000000000018,0.0,1.032276015581525,TWSE_TWT49U
20200709,1717,TWSE,息,34.3,32.9,1.3999999999999986,0.0,1.0425531914893618,TWSE_TWT49U
20200709,1906,TWSE,息,13.05,12.55,0.5,0.0,1.0398406374501992,TWSE_TWT49U
20200709,2010,TWSE,息,10.05,9.75,0.3000000000000007,0.0,1.0307692307692309,TWSE_TWT49U
20200709,2231,TWSE,權息,156.5,146.49,10.009999999999991,0.0,1.0683323093726533,TWSE_TWT49U
20200709,2312,TWSE,息,10.85,10.54,0.3100000000000005,0.0,1.0294117647058825,TWSE_TWT49U
20200709,2313,TWSE,息,49.8,48.6,1.1999999999999957,0.0,1.0246913580246912,TWSE_TWT49U
20200709,2338,TWSE,息,28.9,27.9,1.0,0.0,1.03584229390681,TWSE_TWT49U
20200709,2362,TWSE,息,30.65,30.25,0.3999999999999986,0.0,1.0132231404958678,TWSE_TWT49U
20200709,2493,TWSE,息,36.95,34.45,2.5,0.0,1.0725689404934688,TWSE_TWT49U
20200709,2634,TWSE,息,29.75,28.56,1.1900000000000013,0.0,1.0416666666666667,TWSE_TWT49U
20200709,3028,TWSE,息,20.0,18.99,1.0100000000000016,0.0,1.0531858873091102,TWSE_TWT49U
20200709,3266,TWSE,息,13.95,13.45,0.5,0.0,1.037174721189591,TWSE_TWT49U
20200709,3685,TPEX,除息,20.0,19.8,0.2,0.0,1.0101010101010102,TPEX_exDailyQ
20200709,3705,TWSE,息,50.6,48.4,2.200000000000003,0.0,1.0454545454545454,TWSE_TWT49U
20200709,4114,TPEX,除權息,27.05,25.02,0.18401189,73.60476281,1.0811350919264588,TPEX_exDailyQ
20200709,4528,TPEX,除息,41.4,39.6,1.8,0.0,1.0454545454545454,TPEX_exDailyQ
20200709,4535,TPEX,除息,28.6,27.6,1.0,0.0,1.036231884057971,TPEX_exDailyQ
20200709,4542,TPEX,除息,23.4,22.2,1.2,0.0,1.054054054054054,TPEX_exDailyQ
20200709,5212,TPEX,除息,49.8,47.62,2.18,0.0,1.0457790844183117,TPEX_exDailyQ
20200709,5234,TWSE,息,92.0,87.0,5.0,0.0,1.0574712643678161,TWSE_TWT49U
20200709,5388,TWSE,息,86.2,83.17,3.030000000000001,0.0,1.0364314055548876,TWSE_TWT49U
20200709,6024,TWSE,息,40.1,38.2,1.8999999999999986,0.0,1.0497382198952878,TWSE_TWT49U
20200709,6187,TPEX,除息,45.9,44.37,1.53443666,0.0,1.0344827586206897,TPEX_exDailyQ
20200709,6197,TWSE,息,43.7,40.7,3.0,0.0,1.0737100737100738,TWSE_TWT49U
20200709,6510,TPEX,除息,852.0,842.0,10.0,0.0,1.01187648456057,TPEX_exDailyQ
20200709,6514,TPEX,除息,73.4,70.4,3.0,0.0,1.0426136363636365,TPEX_exDailyQ
20200709,6697,TPEX,除息,52.7,50.7,2.0,0.0,1.039447731755424,TPEX_exDailyQ
20200709,8034,TPEX,除息,26.5,26.3,0.2,0.0,1.0076045627376427,TPEX_exDailyQ
20200709,8046,TWSE,息,88.1,87.4,0.6999999999999886,0.0,1.0080091533180777,TWSE_TWT49U
20200709,8074,TPEX,除息,18.1,17.1,1.0,0.0,1.0584795321637426,TPEX_exDailyQ
20200709,8131,TWSE,息,39.85,37.65,2.200000000000003,0.0,1.058432934926959,TWSE_TWT49U
20200709,8163,TWSE,息,40.2,37.9,2.3000000000000043,0.0,1.0606860158311346,TWSE_TWT49U
20200709,8182,TPEX,除息,30.4,29.4,1.0,0.0,1.034013605442177,TPEX_exDailyQ
20200709,8240,TPEX,除息,26.55,25.25,1.3,0.0,1.0514851485148515,TPEX_exDailyQ
20200709,8249,TWSE,息,19.4,18.2,1.1999999999999993,0.0,1.065934065934066,TWSE_TWT49U
20200709,8367,TWSE,息,25.7,24.6,1.0999999999999979,0.0,1.0447154471544715,TWSE_TWT49U
20200709,8374,TWSE,息,21.85,21.55,0.3000000000000007,0.0,1.013921113689095,TWSE_TWT49U
20200710,1233,TWSE,息,38.25,36.65,1.6000000000000014,0.0,1.043656207366985,TWSE_TWT49U
20200710,1323,TWSE,息,33.7,32.1,1.6000000000000014,0.0,1.0498442367601246,TWSE_TWT49U
