date,code,market,event_type,official_prev_close,reference_price,cash_dividend_per_share,stock_shares_per_1000,continuity_bridge,source
20260804,6203,TPEX,EX_DIVIDEND,64.3,60.3,4.0,0.0,0.937791601866252,TPEX:exright
20260804,6209,TWSE,EX_DIVIDEND,69.8,69.3,0.5,,0.9928366762177651,TWSE:exright
20260804,6417,TPEX,EX_DIVIDEND,114.0,111.6,2.4,0.0,0.9789473684210526,TPEX:exright
20260804,6469,TPEX,EX_RIGHT_DIVIDEND,77.4,70.04,3.15763797,59.95515051,0.9049095607235143,TPEX:exright
20260804,6728,TPEX,EX_DIVIDEND,109.5,103.0,6.5,0.0,0.9406392694063926,TPEX:exright
20260804,6743,TWSE,EX_DIVIDEND,30.3,27.3,3.0,,0.900990099009901,TWSE:exright
20260804,8404,TWSE,EX_DIVIDEND,16.65,16.15,0.5,,0.96996996996997,TWSE:exright
20260804,9938,TWSE,EX_DIVIDEND,45.9,42.9,3.0,,0.934640522875817,TWSE:exright
20260805,1437,TWSE,EX_DIVIDEND,30.85,30.36,0.490000000000002,,0.9841166936790923,TWSE:exright
20260805,1519,TWSE,EX_RIGHT_DIVIDEND,713.0,638.18,,,0.895063113604488,TWSE:exright
20260805,2427,TWSE,EX_DIVIDEND,23.05,22.35,0.6999999999999993,,0.9696312364425163,TWSE:exright
20260805,2801,TWSE,EX_RIGHT_DIVIDEND,25.2,23.8,,,0.9444444444444445,TWSE:exright
20260805,3289,TPEX,EX_DIVIDEND,145.0,143.8,1.1984133,0.0,0.9917241379310345,TPEX:exright
20260805,5903,TPEX,EX_DIVIDEND,189.0,182.5,6.5,0.0,0.9656084656084656,TPEX:exright
20260805,6134,TPEX,EX_DIVIDEND,26.3,26.1,0.2,0.0,0.9923954372623575,TPEX:exright
20260805,6201,TWSE,EX_DIVIDEND,49.15,46.05,3.1000000000000014,,0.9369277721261444,TWSE:exright
20260805,6725,TPEX,EX_DIVIDEND,256.0,249.0,7.0,0.0,0.97265625,TPEX:exright
20260805,6997,TPEX,EX_DIVIDEND,76.6,72.0,4.6,0.0,0.9399477806788512,TPEX:exright
20260805,8354,TPEX,EX_DIVIDEND,15.8,15.69,0.11,0.0,0.9930379746835443,TPEX:exright
20260806,1419,TWSE,EX_DIVIDEND,65.6,63.8,1.7999999999999972,,0.9725609756097562,TWSE:exright
20260806,1439,TWSE,EX_DIVIDEND,29.1,28.6,0.5,,0.9828178694158075,TWSE:exright
20260806,1713,TWSE,EX_DIVIDEND,46.95,43.85,3.1000000000000014,,0.933972310969116,TWSE:exright
20260806,2375,TWSE,EX_DIVIDEND,123.5,122.3,1.2000000000000028,,0.9902834008097166,TWSE:exright
20260806,2762,TWSE,EX_DIVIDEND,85.4,81.76,3.6400000000000006,,0.9573770491803278,TWSE:exright
20260806,3003,TWSE,EX_DIVIDEND,59.5,58.5,1.0,,0.9831932773109243,TWSE:exright
20260806,3033,TWSE,EX_DIVIDEND,47.8,45.88,1.9199999999999946,,0.9598326359832637,TWSE:exright
20260806,3152,TPEX,EX_DIVIDEND,232.0,224.89,7.11102372,0.0,0.969353448275862,TPEX:exright
20260806,3376,TWSE,EX_DIVIDEND,185.0,181.0,4.0,,0.9783783783783784,TWSE:exright
20260806,3516,TPEX,EX_DIVIDEND,27.05,26.85,0.2,0.0,0.9926062846580407,TPEX:exright
20260806,5288,TWSE,EX_DIVIDEND,191.5,184.99,6.509999999999991,,0.9660052219321149,TWSE:exright
20260806,5525,TWSE,EX_DIVIDEND,23.25,22.05,1.1999999999999993,,0.9483870967741935,TWSE:exright
20260806,6125,TPEX,EX_DIVIDEND,49.1,48.6,0.5,0.0,0.9898167006109979,TPEX:exright
20260806,6186,TPEX,EX_DIVIDEND,42.45,37.44,5.00793304,0.0,0.8819787985865724,TPEX:exright
20260806,6855,TPEX,EX_DIVIDEND,119.5,114.0,5.5,0.0,0.9539748953974896,TPEX:exright
20260806,9914,TWSE,EX_DIVIDEND,78.3,75.5,2.799999999999997,,0.9642401021711366,TWSE:exright
20260806,9960,TPEX,EX_DIVIDEND,32.9,31.35,1.55036921,0.0,0.952887537993921,TPEX:exright
20260807,1210,TWSE,EX_DIVIDEND,55.2,52.2,3.0,,0.9456521739130435,TWSE:exright
20260807,6491,TWSE,EX_DIVIDEND,379.0,368.99,10.009999999999991,,0.9735883905013193,TWSE:exright
20260807,6662,TPEX,EX_DIVIDEND,30.2,28.65,1.55,0.0,0.9486754966887417,TPEX:exright
20260810,2520,TWSE,EX_DIVIDEND,34.7,33.08,1.6200000000000045,,0.9533141210374638,TWSE:exright
20260810,2540,TWSE,EX_DIVIDEND,54.9,48.9,6.0,,0.8907103825136612,TWSE:exright
20260810,2546,TWSE,EX_RIGHT_DIVIDEND,99.1,84.19,,,0.8495459132189708,TWSE:exright
20260810,2948,TPEX,EX_RIGHT_DIVIDEND,38.65,35.57,1.92865032,32.25806452,0.9203104786545926,TPEX:exright
20260810,3023,TWSE,EX_DIVIDEND,318.0,308.0,10.0,,0.9685534591194969,TWSE:exright
20260810,3709,TPEX,EX_DIVIDEND,79.4,77.24,2.15652134,0.0,0.9727959697732996,TPEX:exright
20260810,5904,TPEX,PAR_VALUE_CHANGE,720.0,72.0,,,0.1,TPEX:par_value
20260810,6680,TPEX,EX_RIGHT,57.8,56.12,0.0,29.94116692,0.9709342560553633,TPEX:exright
20260810,6869,TWSE,EX_DIVIDEND,68.0,66.0,2.0,,0.9705882352941176,TWSE:exright
20260810,7743,TPEX,EX_DIVIDEND,21.2,20.7,0.5,0.0,0.9764150943396226,TPEX:exright
20260810,8421,TPEX,EX_RIGHT,15.3,14.68,0.0,0.0,0.9594771241830065,TPEX:exright
20260810,8478,TWSE,EX_DIVIDEND,151.5,145.0,6.5,,0.9570957095709571,TWSE:exright
20260810,8927,TPEX,EX_DIVIDEND,21.05,20.74,0.30624815,0.0,0.985273159144893,TPEX:exright
20260811,2892,TWSE,EX_DIVIDEND,34.95,33.65,1.3000000000000043,,0.9628040057224605,TWSE:exright
20260811,3390,TPEX,EX_DIVIDEND,22.85,22.65,0.19906365,0.0,0.9912472647702406,TPEX:exright
20260811,4580,TPEX,EX_DIVIDEND,82.4,78.4,4.0,0.0,0.9514563106796117,TPEX:exright
20260811,4744,TPEX,EX_DIVIDEND,28.75,27.75,1.0,0.0,0.9652173913043478,TPEX:exright
20260811,5880,TWSE,EX_RIGHT_DIVIDEND,26.1,24.68,,,0.9455938697318007,TWSE:exright
20260811,6005,TWSE,EX_RIGHT_DIVIDEND,33.8,29.53,,,0.8736686390532545,TWSE:exright
20260811,6958,TWSE,EX_RIGHT,18.65,17.75,,,0.9517426273458446,TWSE:exright
20260812,3605,TWSE,EX_DIVIDEND,111.0,109.42,1.5799999999999983,,0.9857657657657658,TWSE:exright
