decision_date,code,layer,reason,limit,stop,reward,expected_rr
2022-04-13,8478,short,expected_rr_below_1p5,168.56,158.27,182.0448,1.3104761904761921
2022-05-31,5258,short,expected_rr_below_1p5,47.726,43.413999999999994,51.54408,0.8854545454545449
2022-07-08,3504,short,expected_rr_below_1p5,84.574,76.92999999999999,91.33992,0.8851282051282056
2022-09-08,1736,short,expected_rr_below_1p5,65.758,61.348,71.01864,1.192888888888892
2022-09-12,1736,short,expected_rr_below_1p5,71.736,65.758,77.47488000000001,0.9600000000000001
2022-11-15,1605,short,expected_rr_below_1p5,47.383,43.903999999999996,51.173640000000006,1.0895774647887313
2023-01-30,2049,short,expected_rr_below_1p5,217.07,197.47,234.43560000000002,0.8860000000000018
2023-02-01,2492,short,expected_rr_below_1p5,96.824,88.788,104.56992000000001,0.9639024390243917
2023-02-01,4164,short,expected_rr_below_1p5,52.136,48.461,56.30688000000001,1.1349333333333331
2023-02-02,2498,short,expected_rr_below_1p5,65.562,61.053999999999995,70.80696,1.163478260869566
2023-02-20,6288,short,expected_rr_below_1p5,27.391,25.774,29.58228,1.355151515151519
2023-02-20,2208,short,expected_rr_below_1p5,22.785,21.315,24.6078,1.2400000000000015
2023-02-23,2605,short,expected_rr_below_1p5,22.932,21.658,24.76656,1.4400000000000028
2023-02-23,2606,short,expected_rr_below_1p5,55.468,51.254,59.905440000000006,1.0530232558139525
2023-02-24,2601,short,expected_rr_below_1p5,9.8,9.212,10.584000000000001,1.3333333333333324
2023-02-24,2605,short,expected_rr_below_1p5,25.186,22.932,27.20088,0.8939130434782611
2023-02-24,2388,short,expected_rr_below_1p5,88.984,82.124,96.10272,1.0377142857142874
2023-03-21,2402,short,expected_rr_below_1p5,23.863,22.05,25.77204,1.0529729729729742
2023-04-10,2206,short,expected_rr_below_1p5,44.345,41.013,47.8926,1.0647058823529418
2023-04-12,2515,short,expected_rr_below_1p5,10.388,9.457,11.219040000000001,0.8926315789473709
2023-04-12,2634,short,expected_rr_below_1p5,47.187,44.394,50.96196,1.3515789473684214
2023-04-14,1752,short,expected_rr_below_1p5,71.53999999999999,67.03200000000001,77.2632,1.2695652173913108
2023-05-02,2480,short,expected_rr_below_1p5,109.27,100.94,118.0116,1.0494117647058832
2023-05-08,2851,short,expected_rr_below_1p5,19.943,18.522,21.53844,1.122758620689653
2023-05-24,5706,short,expected_rr_below_1p5,84.96600000000001,77.322,91.76328000000001,0.8892307692307687
2023-05-30,8210,short,expected_rr_below_1p5,108.78,99.96,117.48240000000001,0.9866666666666671
2023-06-13,1522,short,expected_rr_below_1p5,33.026,30.576,35.66808,1.0783999999999987
2023-06-13,2228,short,expected_rr_below_1p5,95.06,89.08200000000001,102.66480000000001,1.2721311475409867
2023-06-13,6605,short,expected_rr_below_1p5,116.13,107.8,125.4204,1.1152941176470597
2023-06-14,2401,short,expected_rr_below_1p5,28.959,26.851999999999997,31.275720000000003,1.0995348837209304
2023-06-15,1477,short,expected_rr_below_1p5,248.92,233.73,268.8336,1.3109677419354842
2023-06-15,2610,short,expected_rr_below_1p5,26.705,24.304,28.8414,0.8897959183673478
2023-06-16,1513,short,expected_rr_below_1p5,125.44,118.58,135.4752,1.4628571428571435
2023-06-16,2104,short,expected_rr_below_1p5,21.951999999999998,20.335,23.70816,1.0860606060606086
2023-06-20,2059,short,expected_rr_below_1p5,496.86,459.62,536.6088000000001,1.0673684210526333
2023-06-20,4916,short,expected_rr_below_1p5,43.953,39.983999999999995,47.469240000000006,0.8859259259259249
2023-07-11,2481,short,expected_rr_below_1p5,77.42,71.83399999999999,83.6136,1.1087719298245595
2023-07-11,1618,short,expected_rr_below_1p5,24.549,22.932,26.51292,1.2145454545454548
2023-07-11,2388,short,expected_rr_below_1p5,93.59,88.592,101.0772,1.4980392156862734
2023-07-27,3056,short,expected_rr_below_1p5,51.94,49.0,56.0952,1.4133333333333347
2023-07-28,1319,short,expected_rr_below_1p5,59.388,55.86,64.13904000000001,1.34666666666667
2023-07-31,3257,short,expected_rr_below_1p5,85.35799999999999,77.616,92.18664,0.8820253164556983
2023-07-31,2363,short,expected_rr_below_1p5,19.796,18.718,21.37968,1.469090909090911
2023-09-13,1522,short,expected_rr_below_1p5,41.797,39.543,45.14076,1.483478260869568
2023-09-14,2462,short,expected_rr_below_1p5,41.405,38.464999999999996,44.717400000000005,1.126666666666666
2023-10-05,1324,short,expected_rr_below_1p5,15.68,14.798,16.9344,1.4222222222222232
2023-10-06,6189,short,expected_rr_below_1p5,51.744,47.922,55.883520000000004,1.0830769230769235
2023-10-27,6216,short,expected_rr_below_1p5,36.848,34.839,39.79584,1.4673170731707312
2023-11-20,3059,short,expected_rr_below_1p5,38.464999999999996,36.064,41.5422,1.2816326530612285
2023-11-20,3005,short,expected_rr_below_1p5,97.51,88.69,105.31080000000001,0.8844444444444448
2023-11-22,6533,short,expected_rr_below_1p5,501.76,469.42,541.9008,1.2412121212121225
2023-12-08,8112,short,expected_rr_below_1p5,60.858,56.448,65.72664,1.1040000000000023
2023-12-11,8112,short,expected_rr_below_1p5,66.934,60.858,72.28872,0.8812903225806451
2023-12-11,6668,short,expected_rr_below_1p5,47.04,42.777,50.803200000000004,0.8827586206896567
2023-12-12,3712,short,expected_rr_below_1p5,42.581,38.75899999999999,45.987480000000005,0.8912820512820495
2023-12-12,2392,short,expected_rr_below_1p5,50.568,46.256,54.613440000000004,0.9381818181818202
2023-12-12,2404,short,expected_rr_below_1p5,264.6,249.9,285.76800000000003,1.4399999999999988
2023-12-29,2362,short,expected_rr_below_1p5,39.886,37.534,43.07688,1.3566666666666645
2024-01-22,2376,short,expected_rr_below_1p5,291.55,266.07,314.874,0.9153846153846152
2024-01-22,3231,short,expected_rr_below_1p5,114.17,104.86,123.3036,0.9810526315789473
2024-01-22,3017,short,expected_rr_below_1p5,372.89,350.84,402.7212,1.3528888888888893
