strategy,final_nav,total_return,cagr,max_drawdown,buys,sells,completed_sells
short_layer,659534.6374687497,-0.34046536253125037,-0.07107314353288419,-0.38254301417711,203,203.0,
swing_layer,443425.89946737443,-0.5565741005326256,-0.13415263777508324,-0.5568233788464427,318,318.0,
large_layer,849367.2220182575,-0.15063277798174257,-0.02850477515284333,-0.38243637484768966,107,107.0,
combined_three_layer,517896.15559393197,-0.482103844406068,-0.11001282942339707,-0.48342462051316293,358,358.0,
0050_BH,3473949.5065,2.4739495065000003,0.24679824492922053,-0.36124275448059184,1,,0.0
