trade_date,market,stock_id,name,foreign_buy,foreign_sell,foreign_net,trust_buy,trust_sell,trust_net,dealer_buy,dealer_sell,dealer_net,raw_json
2026-09-23,TPEX,00411A,主動統一前沿科技,0,0,0,0,0,0,6929000,2228411,4700589,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00411A"",""CompanyName"":""主動統一前沿科技"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""193000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""117000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""76000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""193000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""117000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""76000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""6929000"",""Dealers-TotalSell"":""2228411"",""Dealers-Difference"":""4700589"",""Dealers -TotalSell"":""2228411"",""TotalDifference"":""4776589""}"
2026-09-23,TPEX,00679B,元大美債20年,0,0,0,0,200000,-200000,997541,1335000,-337459,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00679B"",""CompanyName"":""元大美債20年"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""6230079"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""373000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""5857079"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""6230079"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""373000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""5857079"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""200000"",""SecuritiesInvestmentTrustCompanies-Difference"":""-200000"",""Dealers-TotalBuy"":""997541"",""Dealers-TotalSell"":""1335000"",""Dealers-Difference"":""-337459"",""Dealers -TotalSell"":""1335000"",""TotalDifference"":""5319620""}"
2026-09-23,TPEX,00687B,國泰20年美債,0,0,0,0,0,0,3020711,5582910,-2562199,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00687B"",""CompanyName"":""國泰20年美債"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""5686000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""210438"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""5475562"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""5686000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""210438"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""5475562"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""3020711"",""Dealers-TotalSell"":""5582910"",""Dealers-Difference"":""-2562199"",""Dealers -TotalSell"":""5582910"",""TotalDifference"":""2913363""}"
2026-09-23,TPEX,00687C,國泰20年美債+櫃U,0,0,0,0,0,0,25000,25000,0,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00687C"",""CompanyName"":""國泰20年美債+櫃U"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""0"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""0"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""0"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""0"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""0"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""25000"",""Dealers-TotalSell"":""25000"",""Dealers-Difference"":""0"",""Dealers -TotalSell"":""25000"",""TotalDifference"":""0""}"
2026-09-23,TPEX,00694B,富邦美債1-3,0,0,0,0,0,0,119000,173815,-54815,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00694B"",""CompanyName"":""富邦美債1-3"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""53000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""0"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""53000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""53000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""0"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""53000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""119000"",""Dealers-TotalSell"":""173815"",""Dealers-Difference"":""-54815"",""Dealers -TotalSell"":""173815"",""TotalDifference"":""-1815""}"
2026-09-23,TPEX,00695B,富邦美債7-10,0,0,0,0,0,0,229476,161128,68348,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00695B"",""CompanyName"":""富邦美債7-10"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""86000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""0"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""86000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""86000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""0"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""86000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""229476"",""Dealers-TotalSell"":""161128"",""Dealers-Difference"":""68348"",""Dealers -TotalSell"":""161128"",""TotalDifference"":""154348""}"
2026-09-23,TPEX,00696B,富邦美債20年,0,0,0,0,0,0,1053000,1987118,-934118,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00696B"",""CompanyName"":""富邦美債20年"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""994000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""3000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""991000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""994000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""3000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""991000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""1053000"",""Dealers-TotalSell"":""1987118"",""Dealers-Difference"":""-934118"",""Dealers -TotalSell"":""1987118"",""TotalDifference"":""56882""}"
2026-09-23,TPEX,00697B,元大美債7-10,0,0,0,0,0,0,178000,196610,-18610,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00697B"",""CompanyName"":""元大美債7-10"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""0"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""0"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""0"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""0"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""0"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""178000"",""Dealers-TotalSell"":""196610"",""Dealers-Difference"":""-18610"",""Dealers -TotalSell"":""196610"",""TotalDifference"":""-18610""}"
2026-09-23,TPEX,00719B,元大美債1-3,0,0,0,0,0,0,540000,1143999,-603999,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00719B"",""CompanyName"":""元大美債1-3"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""145000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""116000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""29000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""145000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""116000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""29000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""540000"",""Dealers-TotalSell"":""1143999"",""Dealers-Difference"":""-603999"",""Dealers -TotalSell"":""1143999"",""TotalDifference"":""-574999""}"
2026-09-23,TPEX,00720B,元大投資級公司債,0,0,0,0,0,0,2047314,572000,1475314,"{""Date"":""1150923"",""SecuritiesCompanyCode"":""00720B"",""CompanyName"":""元大投資級公司債"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Buy"":""1268000"","" Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Total Sell"":""180000"",""Foreign Investors include Mainland Area Investors (Foreign Dealers excluded)-Difference"":""1088000"",""Foreign Dealers-Total Buy"":""0"",""Foreign Dealers-TotalSell"":""0"",""ForeignDealers-Difference"":""0"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalBuy"":""1268000"",""ForeignInvestorsIncludeMainlandAreaInvestors-TotalSell"":""180000"",""ForeignInvestorsInclude MainlandAreaInvestors-Difference"":""1088000"",""SecuritiesInvestmentTrustCompanies-TotalBuy"":""0"",""SecuritiesInvestmentTrustCompanies-TotalSell"":""0"",""SecuritiesInvestmentTrustCompanies-Difference"":""0"",""Dealers-TotalBuy"":""2047314"",""Dealers-TotalSell"":""572000"",""Dealers-Difference"":""1475314"",""Dealers -TotalSell"":""572000"",""TotalDifference"":""2563314""}"
