code,layer,exit_reason,buy_date,sell_date,pnl,return_pct,win,mae,mfe
5284,swing,two_closes_below_ma5,2021-01-05,2021-01-07,-1635.011175000007,-0.01564323655692054,False,-0.004267425320056861,0.0
1707,swing,two_closes_below_ma5,2021-01-06,2021-01-08,-1498.7997500000056,-0.016736561358967644,False,0.0,0.014005602240896309
5388,swing,two_closes_below_ma5,2021-01-06,2021-01-12,-3265.0103850000014,-0.031711966581450445,False,-0.030188679245283123,0.0062893081761006275
3308,swing,two_closes_below_ma5,2021-01-08,2021-01-13,-7955.09955449999,-0.051407265480024236,False,-0.0448179271708683,0.0
2493,swing,two_closes_below_ma5,2021-01-06,2021-01-14,-16.230515000032028,-0.00015264371303826357,False,0.0,0.04354136429608135
2436,large,large_hard_stop_minus_15pct,2021-01-18,2021-01-22,-17993.148367500005,-0.18731938844863968,False,-0.19181818181818178,0.0
3312,swing,two_closes_below_ma5,2021-01-20,2021-01-29,94.81303999999363,0.000991027648144283,True,0.0,0.05944055944055937
5434,swing,two_closes_below_ma5,2021-01-20,2021-01-29,-559.5408000000025,-0.0058416756122525665,False,-0.008368200836820106,0.06276150627615062
6504,swing,two_closes_below_ma5,2021-01-21,2021-01-29,-4923.6547500000015,-0.053946110663272595,False,-0.03324099722991691,0.013850415512465464
3712,swing,prior_swing_low_minus_3pct,2021-01-25,2021-01-29,-3511.517869999996,-0.04212482613735277,False,-0.05494505494505497,0.0
8033,large,trail_13pct_after_gain_15pct,2021-01-20,2021-02-04,-756.5321437500097,-0.007961798191519457,False,-0.032163742690058506,0.29824561403508754
1467,swing,two_closes_below_ma5,2021-02-17,2021-02-19,-4536.3553200000315,-0.05330812080848487,False,0.0,0.011173184357541999
6191,swing,two_closes_below_ma5,2021-02-04,2021-03-09,14361.287377500004,0.12017839367633519,True,-0.008213552361396426,0.18275154004106775
2489,large,trail_13pct_after_gain_15pct,2021-03-17,2021-03-25,12662.564006250002,0.1785162294502556,True,0.0,0.2806451612903227
1515,large,trail_13pct_after_gain_15pct,2021-03-12,2021-04-14,-1590.0431575000111,-0.024655245789744512,False,-0.013043478260869601,0.15760869565217384
2530,swing,two_closes_below_ma5,2021-04-23,2021-04-28,-4154.224409999995,-0.06413108876853735,False,-0.030201342281879318,0.0
3058,large,trail_13pct_after_gain_15pct,2021-03-03,2021-05-03,57505.89026812499,0.3378156689395061,True,-0.09090909090909094,0.6013986013986012
2492,large,large_hard_stop_minus_15pct,2021-02-18,2021-05-06,-13422.177881250005,-0.17478723556488618,False,-0.16242661448140905,0.13111545988258322
3705,swing,two_closes_below_ma5,2021-05-04,2021-05-06,-3953.178879999992,-0.027787775488361702,False,-0.007900677200902817,0.0
9919,swing,two_closes_below_ma5,2021-05-04,2021-05-06,-11494.588560000004,-0.07990504648354607,False,-0.019607843137254832,0.0
2049,large,large_hard_stop_minus_15pct,2021-01-06,2021-05-12,-16107.484925000004,-0.19769378966212933,False,-0.2088998763906057,0.14462299134734247
5880,swing,portfolio_dd9_keep_best_swing,2021-05-11,2021-05-12,-3504.9306775000005,-0.030981311401367995,False,-0.0374707259953162,0.0
2886,swing,two_closes_below_ma5,2021-05-11,2021-05-13,-7150.323774999997,-0.06308109428912283,False,-0.03389830508474578,0.0
1903,large,large_hard_stop_minus_15pct,2021-04-13,2021-05-14,-12324.540318750005,-0.1829076142087903,False,-0.14502529510961204,0.018549747048903997
3533,large,portfolio_dd14_large_structure_broken,2021-01-07,2021-05-14,-15175.058212500007,-0.09657393562286205,False,-0.12710280373831773,0.07850467289719631
1560,large,portfolio_dd14_large_structure_broken,2021-01-12,2021-05-14,-13712.307036249971,-0.1173205715374877,False,-0.10349854227405242,0.1443148688046647
3703,large,trail_13pct_after_gain_15pct,2021-02-23,2021-05-17,5717.305124999999,0.06787015488033986,True,-0.0045351473922903285,0.31746031746031744
