code,layer,exit_reason,buy_date,sell_date,pnl,return_pct,win,mae,mfe
6582,large,large_hard_stop_minus_15pct,2021-07-26,2021-08-17,-36159.31090624997,-0.19576888147161284,False,-0.1915708812260536,0.06321839080459779
4564,large,over_90d_continuation_failed,2021-09-06,2022-01-18,-30779.797886249988,-0.1599469987562696,False,-0.1455142231947485,0.009846827133479064
1721,large,large_hard_stop_minus_15pct,2022-02-21,2022-03-09,-30903.079150000005,-0.1662900240630756,False,-0.1400437636761489,0.0
2374,large,large_hard_stop_minus_15pct,2022-03-23,2022-05-10,-13537.254453124995,-0.20145099524799193,False,-0.16759776536312854,0.0
1736,large,portfolio_dd14_large_structure_broken,2023-02-09,2023-05-12,-33264.16332000002,-0.19195508526227364,False,-0.18534482758620674,0.034482758620689724
