strategy,final_nav,total_return,cagr,max_drawdown,buys,sells,completed_trades,wins,win_rate,average_mae,average_mfe,completed_sells
v3_original_large_layer,1026609.9327187978,0.026609932718797857,0.004662638318781331,-0.14277637909471141,10,10.0,10.0,4.0,0.4,-0.10237967667199413,0.2736608200947926,
v3_original_combined_three_layer,941102.1013523751,-0.05889789864762485,-0.010694848159656822,-0.1527101778936527,27,27.0,27.0,5.0,0.18518518518518517,-0.05157568532866606,0.09504739296881694,
pullback_stable_base_large_layer,855356.394284375,-0.14464360571562496,-0.027294878654192667,-0.15273156346195071,5,5.0,5.0,0.0,0.0,-0.16601429220925726,0.021509595311753317,
pullback_stable_base_combined_three_layer,867975.6450745002,-0.1320243549254998,-0.02476826028172141,-0.1328319249234885,43,43.0,43.0,5.0,0.11627906976744186,-0.019024167926948325,0.025585112706049042,
0050_BH,3473949.5065,2.4739495065000003,0.24679824492922053,-0.36124275448059184,1,,,,,,,0.0
