strategy,final_nav,total_return,cagr,max_drawdown,buys,sells,completed_sells
short_layer,533962.0765512496,-0.4660379234487504,-0.10518375202048758,-0.4859888787420721,258,258.0,
swing_layer,371318.6521337497,-0.6286813478662503,-0.16094746716454755,-0.6291765389460333,431,431.0,
large_layer,753496.4137162497,-0.24650358628375024,-0.04889740877124926,-0.38676178247887016,100,100.0,
combined_three_layer,361037.60190674954,-0.6389623980932504,-0.16511017439960074,-0.6394210880373608,505,505.0,
0050_BH,3473949.5065,2.4739495065000003,0.24679824492922053,-0.36124275448059184,1,,0.0
