strategy,year,start_nav,end_nav,year_return,year_max_drawdown
short_layer,2021,1000000.0,922203.586020625,-0.07779641397937509,-0.07779641397937509
short_layer,2022,921260.299880625,864706.201163125,-0.06138775189251955,-0.06138775189251955
short_layer,2023,864706.201163125,864706.201163125,0.0,0.0
short_layer,2024,864706.201163125,864706.201163125,0.0,0.0
short_layer,2025,864706.201163125,864706.201163125,0.0,0.0
short_layer,2026,864706.201163125,864706.201163125,0.0,0.0
swing_layer,2021,1000000.0,865173.3497013745,-0.1348266502986255,-0.13563161302337823
swing_layer,2022,865173.3497013745,865173.3497013745,0.0,0.0
swing_layer,2023,865173.3497013745,865173.3497013745,0.0,0.0
swing_layer,2024,865173.3497013745,865173.3497013745,0.0,0.0
swing_layer,2025,865173.3497013745,865173.3497013745,0.0,0.0
swing_layer,2026,865173.3497013745,865173.3497013745,0.0,0.0
large_layer,2021,1000000.0,1026609.9327187978,0.026609932718797857,-0.14277637909471141
large_layer,2022,1026609.9327187978,1026609.9327187978,0.0,0.0
large_layer,2023,1026609.9327187978,1026609.9327187978,0.0,0.0
large_layer,2024,1026609.9327187978,1026609.9327187978,0.0,0.0
large_layer,2025,1026609.9327187978,1026609.9327187978,0.0,0.0
large_layer,2026,1026609.9327187978,1026609.9327187978,0.0,0.0
combined_three_layer,2021,1000000.0,941102.1013523751,-0.05889789864762485,-0.1527101778936527
combined_three_layer,2022,941102.1013523751,941102.1013523751,0.0,0.0
combined_three_layer,2023,941102.1013523751,941102.1013523751,0.0,0.0
combined_three_layer,2024,941102.1013523751,941102.1013523751,0.0,0.0
combined_three_layer,2025,941102.1013523751,941102.1013523751,0.0,0.0
combined_three_layer,2026,941102.1013523751,941102.1013523751,0.0,0.0
0050_BH,2021,1016004.5065,1187319.5065000001,0.1686163780809964,-0.11451760092748176
0050_BH,2022,1194609.5065000001,901389.5065,-0.2454525921688704,-0.36124275448059184
0050_BH,2023,905844.5065,1105914.5065000001,0.22086572095362156,-0.08325042345944578
0050_BH,2024,1101459.5065000001,1594344.5065000001,0.4474835407850737,-0.21586335110706478
0050_BH,2025,1580574.5065000001,2134209.5065,0.35027453481200377,-0.28323558484794076
0050_BH,2026,2177949.5065,3473949.5065,0.595055117729838,-0.15840867753860277
