strategy,final_nav,total_return,cagr,max_drawdown,buys,sells,completed_trades,wins,win_rate,average_mae,average_mfe,completed_sells
v3_original_large_layer,1026609.9327187978,0.026609932718797857,0.004662638318781331,-0.14277637909471141,10,10.0,10.0,4.0,0.4,-0.10237967667199413,0.2736608200947926,
v3_original_combined_three_layer,941102.1013523751,-0.05889789864762485,-0.010694848159656822,-0.1527101778936527,27,27.0,27.0,5.0,0.18518518518518517,-0.05157568532866606,0.09504739296881694,
pullback_10_12_reanalysed_large_layer,939057.67257375,-0.06094232742624994,-0.011075867189837885,-0.0703814840771837,3,3.0,3.0,1.0,0.3333333333333333,-0.10402354527017565,0.08304680195787273,
pullback_10_12_reanalysed_combined_three_layer,865131.4521545003,-0.13486854784549973,-0.02533507128308976,-0.1356734715885114,41,41.0,41.0,5.0,0.12195121951219512,-0.02051917316451833,0.026791616313349562,
0050_BH,3473949.5065,2.4739495065000003,0.24679824492922053,-0.36124275448059184,1,,,,,,,0.0
