code,raw_signal_date,outcome,end_date,peak,drawdown,peak_date,pullback_date,rejection_reasons
4536,2020-08-13,reanalysis_rejected,2020-09-11,187.0,-0.11229946524064172,2020-08-28,2020-09-08,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_yoy_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
4536,2020-08-13,reanalysis_rejected,2020-09-14,187.0,-0.10427807486631013,2020-08-28,2020-09-09,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_yoy_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
4536,2020-08-13,expired_20d,2020-09-10,187.0,,,,
4536,2022-12-05,reanalysis_rejected,2022-12-29,206.5,-0.10653753026634383,2022-12-09,2022-12-26,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
4536,2022-12-05,reanalysis_rejected,2022-12-30,206.5,-0.10653753026634383,2022-12-09,2022-12-27,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
4536,2022-12-05,cancel_structure,2022-12-28,206.5,-0.13317191283292973,,,
4551,2021-04-08,cancel_structure,2021-04-21,199.0,-0.0879396984924623,,,
4564,2021-02-19,reanalysis_rejected,2021-03-08,40.65,-0.11316113161131613,2021-02-23,2021-03-03,institutional_3d_nonnegative|foreign_or_trust_3_of_5
4564,2021-02-19,reanalysis_rejected,2021-03-11,40.65,-0.11070110701107017,2021-02-23,2021-03-08,institutional_3d_nonnegative|foreign_or_trust_3_of_5
4564,2021-02-19,reanalysis_rejected,2021-03-12,40.65,-0.10824108241082409,2021-02-23,2021-03-09,no_new_close_low_beyond_1pct|third_close_recovers_touch_close|foreign_or_trust_3_of_5
4564,2021-02-19,reanalysis_rejected,2021-03-15,40.65,-0.11808118081180807,2021-02-23,2021-03-10,institutional_3d_nonnegative|foreign_or_trust_3_of_5
4564,2021-02-19,reanalysis_rejected,2021-03-16,40.65,-0.10086100861008618,2021-02-23,2021-03-11,foreign_or_trust_3_of_5
4564,2021-02-19,reanalysis_rejected,2021-03-17,40.65,-0.10947109471094696,2021-02-23,2021-03-12,institutional_3d_nonnegative|foreign_or_trust_3_of_5
4564,2021-02-19,expired_20d,2021-03-22,40.65,,,,
4564,2021-06-24,expired_20d,2021-07-22,54.7,,,,
4572,2023-03-02,reanalysis_rejected,2023-03-21,155.5,-0.11897106109324762,2023-03-08,2023-03-16,institutional_3d_nonnegative|foreign_or_trust_3_of_5
4572,2023-03-02,reanalysis_rejected,2023-03-22,155.5,-0.112540192926045,2023-03-08,2023-03-17,third_close_recovers_touch_close|institutional_3d_nonnegative|foreign_or_trust_3_of_5
4572,2023-03-02,reanalysis_rejected,2023-03-23,155.5,-0.11897106109324762,2023-03-08,2023-03-20,institutional_3d_nonnegative|foreign_or_trust_3_of_5
4572,2023-03-02,reanalysis_rejected,2023-03-24,155.5,-0.112540192926045,2023-03-08,2023-03-21,third_close_recovers_touch_close|institutional_3d_nonnegative|foreign_or_trust_3_of_5
4572,2023-03-02,reanalysis_rejected,2023-03-27,155.5,-0.11575562700964626,2023-03-08,2023-03-22,three_day_volume_contracted|institutional_3d_nonnegative|foreign_or_trust_3_of_5
4572,2023-03-02,reanalysis_rejected,2023-03-29,155.5,-0.11575562700964626,2023-03-08,2023-03-24,institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
4572,2023-03-02,reanalysis_rejected,2023-03-31,155.5,-0.112540192926045,2023-03-08,2023-03-28,institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
4572,2023-03-02,reanalysis_rejected,2023-04-06,155.5,-0.10289389067524113,2023-03-08,2023-03-29,foreign_or_trust_3_of_5
4572,2023-03-02,reanalysis_rejected,2023-04-07,155.5,-0.10932475884244375,2023-03-08,2023-03-30,institutional_3d_nonnegative|market_breadth_present
4572,2023-03-02,expired_20d,2023-03-30,155.5,,,,
4722,2025-05-14,expired_20d,2025-06-12,76.3,,,,
4739,2021-03-31,expired_20d,2021-05-03,88.9,,,,
4739,2025-09-25,reanalysis_passed,2025-10-29,73.1,-0.10533515731874132,2025-09-26,2025-10-23,
4739,2025-12-09,reanalysis_rejected,2025-12-19,75.8,-0.10686015831134554,2025-12-09,2025-12-16,three_days_above_ma60|third_close_recovers_touch_close|institutional_3d_nonnegative
4739,2025-12-09,cancel_structure,2025-12-17,75.8,-0.11345646437994716,,,
4746,2023-05-03,reanalysis_rejected,2023-05-24,95.7,-0.1086729362591432,2023-05-03,2023-05-19,revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
4746,2023-05-03,cancel_structure,2023-05-26,95.7,-0.12434691745036575,,,
4906,2021-06-10,cancel_structure,2021-06-11,30.85,-0.008103727714748765,,,
4906,2021-12-27,cancel_structure,2022-01-14,32.3,-0.1083591331269349,,,
4906,2023-05-29,cancel_structure,2023-06-16,33.45,-0.08819133034379678,,,
4915,2021-12-22,expired_20d,2022-01-20,58.4,,,,
4915,2022-05-20,expired_20d,2022-06-20,64.0,,,,
4915,2022-07-19,expired_20d,2022-08-16,71.0,,,,
4916,2024-11-07,cancel_structure,2024-11-12,35.55,-0.12236286919831219,,,
4938,2020-08-14,cancel_structure,2020-08-20,69.1,-0.07380607814761209,,,
4952,2021-06-09,expired_20d,2021-07-08,58.5,,,,
4956,2020-12-31,cancel_structure,2021-01-07,25.45,-0.13948919449901775,,,
4956,2021-04-21,cancel_structure,2021-05-03,28.8,-0.13368055555555558,,,
4960,2021-10-27,expired_20d,2021-11-24,13.5,,,,
4968,2024-05-28,cancel_structure,2024-05-30,203.0,-0.054187192118226646,,,
4976,2020-12-23,reanalysis_rejected,2021-01-25,94.9,-0.10326659641728142,2021-01-15,2021-01-20,third_close_recovers_touch_close|foreign_or_trust_3_of_5
4976,2020-12-23,reanalysis_rejected,2021-01-26,94.9,-0.10958904109589052,2021-01-15,2021-01-21,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
4976,2020-12-23,expired_20d,2021-01-21,94.9,,,,
4976,2024-06-26,reanalysis_rejected,2024-07-15,60.0,-0.10833333333333328,2024-07-08,2024-07-10,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|foreign_or_trust_3_of_5
4976,2024-06-26,reanalysis_rejected,2024-07-16,60.0,-0.10666666666666669,2024-07-08,2024-07-11,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|foreign_or_trust_3_of_5
4976,2024-06-26,cancel_structure,2024-07-12,60.0,-0.13,,,
4989,2021-03-17,expired_20d,2021-04-16,44.95,,,,
5203,2023-03-17,reanalysis_rejected,2023-04-12,114.0,-0.10526315789473684,2023-03-24,2023-04-07,revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
5203,2023-03-17,reanalysis_rejected,2023-04-13,114.0,-0.11403508771929827,2023-03-24,2023-04-10,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
5203,2023-03-17,reanalysis_rejected,2023-04-14,114.0,-0.10087719298245612,2023-03-24,2023-04-11,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
5203,2023-03-17,cancel_structure,2023-04-13,114.0,-0.13245614035087716,,,
5258,2022-08-24,reanalysis_rejected,2022-09-12,79.2,-0.11994949494949492,2022-08-25,2022-09-06,three_days_within_12pct|no_new_close_low_beyond_1pct|institutional_3d_nonnegative|foreign_or_trust_3_of_5
5258,2022-08-24,cancel_structure,2022-09-07,79.2,-0.14015151515151525,,,
5258,2024-03-25,cancel_structure,2024-04-16,147.5,-0.12881355932203387,,,
5269,2024-11-07,cancel_structure,2024-11-18,1795.0,-0.10863509749303624,,,
5388,2022-04-21,cancel_structure,2022-05-06,87.4,-0.12814645308924488,,,
5388,2022-08-08,reanalysis_rejected,2022-09-01,105.5,-0.11658767772511847,2022-08-09,2022-08-29,market_breadth_present
5388,2022-08-08,expired_20d,2022-09-05,105.5,,,,
5388,2023-03-30,cancel_structure,2023-04-20,96.6,-0.11490683229813659,,,
5434,2020-05-21,expired_20d,2020-06-18,110.5,,,,
5434,2024-09-02,expired_20d,2024-10-01,289.5,,,,
5434,2025-10-31,reanalysis_rejected,2025-11-17,348.5,-0.1076040172166427,2025-11-03,2025-11-12,three_days_within_12pct|three_days_above_ma60|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|market_breadth_present
5434,2025-10-31,reanalysis_rejected,2025-11-18,348.5,-0.10616929698708755,2025-11-03,2025-11-13,three_days_within_12pct|three_days_above_ma60|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|market_breadth_present
5434,2025-10-31,cancel_structure,2025-11-14,348.5,-0.12051649928263986,,,
5469,2020-05-11,cancel_structure,2020-05-18,41.1,-0.11313868613138678,,,
5471,2021-02-18,expired_20d,2021-03-19,98.7,,,,
5484,2024-07-01,cancel_structure,2024-07-09,118.5,-0.18734177215189873,,,
5522,2020-11-24,expired_20d,2020-12-22,56.7,,,,
5607,2021-06-03,reanalysis_rejected,2021-06-28,41.2,-0.11407766990291268,2021-06-21,2021-06-23,revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
5607,2021-06-03,reanalysis_rejected,2021-07-02,41.2,-0.11893203883495163,2021-06-21,2021-06-29,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive
5607,2021-06-03,reanalysis_rejected,2021-07-05,41.2,-0.10558252427184467,2021-06-21,2021-06-30,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive
5607,2021-06-03,cancel_structure,2021-07-01,41.2,-0.12135922330097082,,,
5607,2021-12-01,expired_20d,2021-12-29,70.0,,,,
5706,2024-04-11,expired_20d,2024-05-10,80.0,,,,
5876,2023-01-30,expired_20d,2023-03-01,47.95,,,,
5880,2023-11-15,expired_20d,2023-12-13,26.95,,,,
6005,2020-12-30,reanalysis_rejected,2021-02-02,15.2,-0.10855263157894723,2021-01-08,2021-01-28,no_new_close_low_beyond_1pct|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
6005,2020-12-30,expired_20d,2021-01-28,15.2,,,,
6120,2023-07-11,reanalysis_rejected,2023-07-27,19.2,-0.1015625,2023-07-19,2023-07-24,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close
6120,2023-07-11,cancel_structure,2023-07-26,19.2,-0.14322916666666663,,,
6139,2023-09-25,reanalysis_rejected,2023-10-16,117.5,-0.10212765957446812,2023-09-28,2023-10-11,revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
6139,2023-09-25,expired_20d,2023-10-26,133.5,,,,
6139,2023-12-12,expired_20d,2024-01-10,170.0,,,,
6142,2021-04-16,cancel_structure,2021-04-22,19.6,-0.18622448979591844,,,
6152,2021-12-24,cancel_structure,2022-01-07,12.7,-0.12204724409448808,,,
6153,2022-08-31,cancel_structure,2022-09-26,28.25,-0.1415929203539823,,,
6166,2025-02-05,cancel_structure,2025-03-07,87.1,-0.09988518943742808,,,
6166,2025-12-04,expired_20d,2026-01-05,67.1,,,,
6168,2020-12-31,reanalysis_rejected,2021-01-12,21.0,-0.11666666666666659,2021-01-05,2021-01-07,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|foreign_or_trust_3_of_5
6168,2020-12-31,cancel_structure,2021-01-08,21.0,-0.1499999999999999,,,
6176,2024-08-30,expired_20d,2024-09-30,200.0,,,,
6176,2024-10-21,cancel_structure,2024-11-12,215.0,-0.08837209302325577,,,
6177,2025-05-05,expired_20d,2025-06-03,52.5,,,,
6189,2023-10-06,expired_20d,2023-11-07,56.8,,,,
6191,2021-07-13,reanalysis_rejected,2021-07-20,39.35,-0.10546378653113087,2021-07-13,2021-07-15,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
6191,2021-07-13,reanalysis_rejected,2021-07-21,39.35,-0.1016518424396442,2021-07-13,2021-07-16,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
6191,2021-07-13,reanalysis_rejected,2021-07-22,39.35,-0.1130876747141043,2021-07-13,2021-07-19,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
6191,2021-07-13,cancel_structure,2021-07-20,39.35,-0.13595933926302417,,,
6196,2021-09-24,cancel_structure,2021-09-29,122.5,-0.08571428571428574,,,
6196,2021-11-10,expired_20d,2021-12-08,157.5,,,,
6197,2025-06-05,expired_20d,2025-07-03,150.0,,,,
6202,2021-06-09,reanalysis_rejected,2021-07-06,110.0,-0.1045454545454545,2021-06-10,2021-07-01,revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
6202,2021-06-09,expired_20d,2021-07-08,110.0,,,,
6213,2021-06-09,cancel_structure,2021-06-22,140.0,-0.0535714285714286,,,
6213,2021-09-01,cancel_structure,2021-09-06,142.5,-0.03157894736842104,,,
6213,2025-05-07,expired_20d,2025-06-05,89.8,,,,
6214,2024-01-02,expired_20d,2024-01-30,117.5,,,,
6216,2022-07-08,cancel_structure,2022-07-12,33.95,-0.187039764359352,,,
6216,2024-06-11,expired_20d,2024-07-09,51.7,,,,
6224,2024-10-11,cancel_structure,2024-10-30,80.6,-0.1315136476426798,,,
6235,2025-09-12,expired_20d,2025-10-15,76.6,,,,
6235,2025-10-07,reanalysis_rejected,2025-11-07,76.6,-0.10966057441253252,2025-10-08,2025-11-04,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|market_breadth_present
6235,2025-10-07,reanalysis_rejected,2025-11-10,76.6,-0.10704960835509125,2025-10-08,2025-11-05,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close
6235,2025-10-07,reanalysis_rejected,2025-11-11,76.6,-0.10574412532637067,2025-10-08,2025-11-06,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close
6235,2025-10-07,expired_20d,2025-11-06,76.6,,,,
6269,2022-05-26,cancel_structure,2022-06-01,101.5,-0.058128078817734075,,,
6278,2021-04-07,cancel_structure,2021-04-12,125.5,-0.05976095617529875,,,
6278,2021-06-17,reanalysis_rejected,2021-07-06,132.5,-0.10566037735849054,2021-06-24,2021-07-01,institutional_3d_nonnegative|foreign_or_trust_3_of_5
6278,2021-06-17,expired_20d,2021-07-15,132.5,,,,
6285,2022-08-04,expired_20d,2022-09-01,85.0,,,,
6285,2022-09-12,expired_20d,2022-10-11,89.1,,,,
6285,2023-03-27,reanalysis_rejected,2023-04-26,103.5,-0.106280193236715,2023-03-30,2023-04-21,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative
6285,2023-03-27,reanalysis_rejected,2023-04-27,103.5,-0.10821256038647342,2023-03-30,2023-04-24,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|institutional_3d_nonnegative|market_breadth_present
6285,2023-03-27,cancel_structure,2023-04-25,103.5,-0.13043478260869568,,,
6409,2020-08-07,cancel_structure,2020-08-26,1155.0,-0.1350649350649351,,,
6409,2021-06-28,expired_20d,2021-07-26,1350.0,,,,
6412,2020-06-19,expired_20d,2020-07-21,69.9,,,,
6414,2022-06-06,cancel_structure,2022-06-16,227.0,-0.10132158590308371,,,
6414,2023-01-04,expired_20d,2023-02-13,231.5,,,,
6414,2023-02-20,expired_20d,2023-03-22,244.0,,,,
6414,2023-03-24,expired_20d,2023-04-26,265.0,,,,
6414,2023-05-12,expired_20d,2023-06-12,286.0,,,,
6414,2023-07-05,expired_20d,2023-08-02,319.0,,,,
6438,2023-07-04,cancel_structure,2023-07-07,121.0,-0.06611570247933884,,,
6442,2024-07-01,reanalysis_rejected,2024-07-12,438.5,-0.10376282782212087,2024-07-05,2024-07-09,three_day_volume_contracted
6442,2024-07-01,reanalysis_rejected,2024-07-29,543.0,-0.11325966850828728,2024-07-18,2024-07-22,three_days_within_12pct|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|market_breadth_present
6442,2024-07-01,cancel_structure,2024-07-23,543.0,-0.2016574585635359,,,
6443,2022-08-08,expired_20d,2022-09-05,42.25,,,,
6446,2024-05-14,expired_20d,2024-06-12,486.0,,,,
6446,2025-02-12,reanalysis_rejected,2025-02-24,771.0,-0.11932555123216604,2025-02-17,2025-02-19,three_days_within_12pct|three_days_above_ma60|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|three_day_volume_contracted|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
6446,2025-02-12,cancel_structure,2025-02-20,771.0,-0.18287937743190663,,,
6472,2024-07-15,cancel_structure,2024-07-29,955.0,-0.12879581151832464,,,
6477,2022-12-02,cancel_structure,2022-12-20,49.7,-0.1046277665995976,,,
6477,2025-05-19,cancel_structure,2025-05-20,32.8,-0.03353658536585358,,,
