,v3_original_large_layer,v3_original_combined_three_layer,pullback_10_12_reanalysed_large_layer,pullback_10_12_reanalysed_combined_three_layer,0050_BH
2021-05-19,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1073109.5065000001
2021-05-20,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1065819.5065000001
2021-05-21,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1080804.5065000001
2021-05-24,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1079184.5065000001
2021-05-25,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1097409.5065000001
2021-05-26,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1098219.5065000001
2021-05-27,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1090524.5065000001
2021-05-28,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1108749.5065000001
2021-05-31,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1119279.5065000001
2021-06-01,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1124139.5065000001
2021-06-02,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1124139.5065000001
2021-06-03,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1123329.5065000001
2021-06-04,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1118064.5065000001
2021-06-07,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1120899.5065000001
2021-06-08,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1114419.5065000001
2021-06-09,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1106319.5065000001
2021-06-10,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1123329.5065000001
2021-06-11,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1127379.5065000001
2021-06-15,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1133454.5065000001
2021-06-16,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1132239.5065000001
2021-06-17,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1128999.5065000001
2021-06-18,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1126569.5065000001
2021-06-21,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1099839.5065000001
2021-06-22,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1101054.5065000001
2021-06-23,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1118874.5065000001
2021-06-24,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1116039.5065000001
2021-06-25,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1118064.5065000001
2021-06-28,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1120089.5065000001
2021-06-29,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1123329.5065000001
2021-06-30,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1134264.5065000001
2021-07-01,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1128999.5065000001
2021-07-02,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1128999.5065000001
2021-07-05,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1139529.5065000001
2021-07-06,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1140744.5065000001
2021-07-07,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1134669.5065000001
2021-07-08,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1133454.5065000001
2021-07-09,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1124544.5065000001
2021-07-12,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1134669.5065000001
2021-07-13,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1143984.5065000001
2021-07-14,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1146819.5065000001
2021-07-15,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1157349.5065000001
2021-07-16,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1141959.5065000001
2021-07-19,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1128999.5065000001
2021-07-20,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1120089.5065000001
2021-07-21,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1116039.5065000001
2021-07-22,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1123734.5065000001
2021-07-23,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1123734.5065000001
2021-07-26,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1114014.5065000001
2021-07-27,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1113609.5065000001
2021-07-28,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1096194.5065000001
2021-07-29,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1114419.5065000001
2021-07-30,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1110774.5065000001
2021-08-02,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1125759.5065000001
2021-08-03,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1130214.5065000001
2021-08-04,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1136694.5065000001
2021-08-05,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1134669.5065000001
2021-08-06,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1133049.5065000001
2021-08-09,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1129809.5065000001
2021-08-10,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1123734.5065000001
2021-08-11,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1120089.5065000001
2021-08-12,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1118064.5065000001
2021-08-13,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1107534.5065000001
2021-08-16,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1105104.5065000001
2021-08-17,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1097004.5065000001
2021-08-18,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1101459.5065000001
2021-08-19,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1076349.5065000001
2021-08-20,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1067844.5065000001
2021-08-23,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1097004.5065000001
2021-08-24,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1100244.5065000001
2021-08-25,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1110774.5065000001
2021-08-26,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1118469.5065000001
2021-08-27,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1127784.5065000001
2021-08-30,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1138719.5065000001
2021-08-31,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1145604.5065000001
2021-09-01,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1150869.5065000001
2021-09-02,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1141959.5065000001
2021-09-03,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1158159.5065000001
2021-09-06,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1163424.5065000001
2021-09-07,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1158159.5065000001
2021-09-08,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1148034.5065000001
2021-09-09,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1145199.5065000001
2021-09-10,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1158564.5065000001
2021-09-13,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1154514.5065000001
2021-09-14,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1155729.5065000001
2021-09-15,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1148844.5065000001
2021-09-16,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1143579.5065000001
2021-09-17,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1146819.5065000001
2021-09-22,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1120089.5065000001
2021-09-23,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1126569.5065000001
2021-09-24,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1139934.5065000001
2021-09-27,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1142769.5065000001
2021-09-28,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1134669.5065000001
2021-09-29,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1110369.5065000001
2021-09-30,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1118874.5065000001
2021-10-01,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1093764.5065000001
2021-10-04,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1087284.5065000001
2021-10-05,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1085664.5065000001
2021-10-06,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1086069.5065000001
2021-10-07,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1105104.5065000001
2021-10-08,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1095789.5065000001
2021-10-12,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1084854.5065000001
2021-10-13,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1081209.5065000001
2021-10-14,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1084044.5065000001
2021-10-15,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1112394.5065000001
2021-10-18,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1109154.5065000001
2021-10-19,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1118064.5065000001
2021-10-20,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1115229.5065000001
2021-10-21,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1111179.5065000001
2021-10-22,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1114419.5065000001
2021-10-25,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1113609.5065000001
2021-10-26,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1122924.5065000001
2021-10-27,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1122924.5065000001
2021-10-28,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1119684.5065000001
2021-10-29,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1108749.5065000001
2021-11-01,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1114419.5065000001
2021-11-02,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1112394.5065000001
2021-11-03,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1115229.5065000001
2021-11-04,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1111584.5065000001
2021-11-05,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1127379.5065000001
2021-11-08,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1136289.5065000001
2021-11-09,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1148439.5065000001
2021-11-10,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1146819.5065000001
2021-11-11,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1136694.5065000001
2021-11-12,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1140339.5065000001
2021-11-15,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1150464.5065000001
2021-11-16,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1152489.5065000001
2021-11-17,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1156134.5065000001
2021-11-18,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1162614.5065000001
2021-11-19,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1165449.5065000001
2021-11-22,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1162614.5065000001
2021-11-23,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1151679.5065000001
2021-11-24,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1146819.5065000001
2021-11-25,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1146414.5065000001
2021-11-26,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1127784.5065000001
2021-11-29,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1127784.5065000001
2021-11-30,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1126569.5065000001
2021-12-01,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1145199.5065000001
2021-12-02,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1157349.5065000001
2021-12-03,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1156944.5065000001
2021-12-06,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1153704.5065000001
2021-12-07,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1157349.5065000001
2021-12-08,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1161804.5065000001
2021-12-09,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1158969.5065000001
2021-12-10,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1158564.5065000001
2021-12-13,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1154919.5065000001
2021-12-14,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1143579.5065000001
2021-12-15,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1145199.5065000001
2021-12-16,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1159374.5065000001
2021-12-17,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1158159.5065000001
2021-12-20,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1148034.5065000001
2021-12-21,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1157754.5065000001
2021-12-22,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1157754.5065000001
2021-12-23,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1164234.5065000001
2021-12-24,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1167474.5065000001
2021-12-27,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1176384.5065000001
2021-12-28,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1185699.5065000001
2021-12-29,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1190964.5065000001
2021-12-30,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1187319.5065000001
2022-01-03,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1194609.5065000001
2022-01-04,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1220529.5065000001
2022-01-05,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1218099.5065000001
2022-01-06,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1206759.5065000001
2022-01-07,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1196229.5065000001
2022-01-10,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1203924.5065000001
2022-01-11,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1209999.5065000001
2022-01-12,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1220124.5065000001
2022-01-13,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1226199.5065000001
2022-01-14,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1226199.5065000001
2022-01-17,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1239969.5065000001
2022-01-18,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1226199.5065000001
2022-01-19,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1211619.5065000001
2022-01-20,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1216479.5065000001
2022-01-21,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1164234.5065000001
2022-01-24,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1175169.5065000001
2022-01-25,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1156134.5065000001
2022-01-26,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1155324.5065000001
2022-02-07,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1161399.5065000001
2022-02-08,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1166259.5065000001
2022-02-09,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1170309.5065000001
2022-02-10,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1183674.5065000001
2022-02-11,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1182864.5065000001
2022-02-14,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1164639.5065000001
2022-02-15,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1159374.5065000001
2022-02-16,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1178409.5065000001
2022-02-17,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1179219.5065000001
2022-02-18,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1175979.5065000001
2022-02-21,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1173549.5065000001
2022-02-22,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1157754.5065000001
2022-02-23,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1160994.5065000001
2022-02-24,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1133049.5065000001
2022-02-25,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1130619.5065000001
2022-03-01,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1146414.5065000001
2022-03-02,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1139934.5065000001
2022-03-03,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1142364.5065000001
2022-03-04,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1130214.5065000001
2022-03-07,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1094169.5065000001
2022-03-08,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1071084.5065000001
2022-03-09,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1082019.5065000001
2022-03-10,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1113204.5065000001
2022-03-11,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1097409.5065000001
2022-03-14,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1097409.5065000001
2022-03-15,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1075134.5065000001
2022-03-16,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1079589.5065000001
2022-03-17,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1113609.5065000001
2022-03-18,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1111179.5065000001
2022-03-21,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1118469.5065000001
2022-03-22,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1116849.5065000001
2022-03-23,1026609.9327187978,941102.1013523751,964871.52458625,865131.4521545003,1127379.5065000001
