trade_date,market,stock_id,name,open,high,low,close,volume,trading_value
2026-09-15,TWSE,00400A,主動國泰動能高息,14.64,14.68,14.39,14.42,30253882,439135297
2026-09-15,TWSE,00401A,主動摩根台灣鑫收,13.86,13.9,13.72,13.76,3943004,54451010
2026-09-15,TWSE,00402A,主動安聯美國科技,9.44,9.45,9.4,9.4,4199319,39581398
2026-09-15,TWSE,00403A,主動統一升級50,10.04,10.13,9.95,9.95,130139135,1302673080
2026-09-15,TWSE,00404A,主動聯博動能50,9.8,9.82,9.7,9.72,30000271,292577557
2026-09-15,TWSE,00405A,主動富邦台灣龍耀,8.52,8.56,8.31,8.32,49122906,413322983
2026-09-15,TWSE,00406A,主動中信台灣收益,9.37,9.44,9.27,9.28,172774482,1611699130
2026-09-15,TWSE,00407A,主動凱基台灣,9.42,9.47,9.26,9.27,21526541,201279517
2026-09-15,TWSE,00408A,主動第一金優股息,10.2,10.24,10.1,10.11,545154,5533679
2026-09-15,TWSE,00409A,主動復華全球50,9.53,9.58,9.47,9.49,9957771,94931367
2026-09-15,TWSE,00410A,主動永豐科技趨勢,11.6,11.67,11.42,11.42,4935015,56834101
2026-09-15,TWSE,0050,元大台灣50,106.75,106.95,106.15,106.25,63373313,6750982162
2026-09-15,TWSE,0051,元大中型100,142.95,143.05,141.0,141.0,120538,17107298
2026-09-15,TWSE,0052,富邦科技,61.7,62.1,61.5,61.6,10671485,658972018
2026-09-15,TWSE,0053,元大電子,237.55,239.55,237.35,237.35,281948,67343867
2026-09-15,TWSE,0055,元大MSCI金融,50.6,50.65,49.61,49.76,1206727,60198495
2026-09-15,TWSE,0056,元大高股息,55.2,55.25,54.85,55.0,25385973,1396603917
2026-09-15,TWSE,0057,富邦摩台,318.35,319.6,317.5,317.5,15926,5095608
2026-09-15,TWSE,0061,元大寶滬深,23.77,23.99,23.77,23.91,64399,1538109
2026-09-15,TWSE,006203,元大MSCI台灣,194.55,194.55,192.95,192.95,25871,5032700
2026-09-15,TWSE,006204,永豐臺灣加權,229.0,229.0,228.0,228.0,25179,5744629
2026-09-15,TWSE,006205,富邦上証,39.9,40.01,39.8,39.87,74924,2991179
2026-09-15,TWSE,006206,元大上證50,37.25,37.3,37.02,37.24,27531,1023043
2026-09-15,TWSE,006207,復華滬深,31.82,31.82,31.73,31.73,105315,3350827
2026-09-15,TWSE,006208,富邦台50,244.4,245.0,243.2,243.5,1901072,463956809
2026-09-15,TWSE,00625K,富邦上証+R,,,,,0,0
2026-09-15,TWSE,00631L,元大台灣50正2,35.4,35.59,35.06,35.09,100717095,3556021324
2026-09-15,TWSE,00632R,元大台灣50反1,9.98,10.03,9.95,10.03,89060360,890517872
2026-09-15,TWSE,00633L,富邦上証正2,47.0,47.3,46.45,46.57,4042976,189123818
