trade_date,market,stock_id,name,open,high,low,close,volume,trading_value
2026-09-15,TPEX,00411A,主動統一前沿科技,9.68,9.72,9.62,9.64,5760044,55714507
2026-09-15,TPEX,006201,元大富櫃50,43.8,44.11,43.1,43.12,134976,5879583
2026-09-15,TPEX,00679B,元大美債20年,25.38,25.42,25.32,25.32,18629217,472934900
2026-09-15,TPEX,00687B,國泰20年美債,26.71,26.75,26.66,26.66,12348726,329949258
2026-09-15,TPEX,00687C,國泰20年美債+櫃U,8.94,8.94,8.94,8.94,25000,223500
2026-09-15,TPEX,00694B,富邦美債1-3,41.42,41.7,41.42,41.7,269282,11216693
2026-09-15,TPEX,00695B,富邦美債7-10,34.1,34.14,34.09,34.13,368619,12574319
2026-09-15,TPEX,00696B,富邦美債20年,27.67,27.69,27.6,27.61,3397865,93981753
2026-09-15,TPEX,00697B,元大美債7-10,34.68,34.71,34.62,34.69,389751,13513122
2026-09-15,TPEX,00719B,元大美債1-3,30.87,31.04,30.87,31.04,1030850,31938551
2026-09-15,TPEX,00720B,元大投資級公司債,31.48,31.52,31.42,31.46,2621609,82532963
2026-09-15,TPEX,00722B,群益投資級電信債,33.7,33.82,33.7,33.76,2420973,81782799
2026-09-15,TPEX,00723B,群益投資級科技債,29.05,29.05,28.99,28.99,103028,2987950
2026-09-15,TPEX,00724B,群益投資級金融債,32.22,32.26,32.17,32.18,4057057,130712965
2026-09-15,TPEX,00725B,國泰投資級公司債,33.55,33.59,33.51,33.51,1437771,48245773
2026-09-15,TPEX,00726B,國泰新興投等債,31.72,31.73,31.69,31.71,495835,15721879
2026-09-15,TPEX,00727B,國泰優選非投等債,39.23,39.23,39.15,39.16,109233,4277426
2026-09-15,TPEX,00734B,台新JPM新興債,15.24,15.26,15.23,15.23,202000,3079260
2026-09-15,TPEX,00740B,富邦全球投等債,36.79,36.94,36.79,36.85,1178034,43480418
2026-09-15,TPEX,00741B,富邦全球非投等債,36.87,37.08,36.87,37.06,119624,4433632
2026-09-15,TPEX,00746B,富邦A級公司債,33.75,33.92,33.75,33.85,509597,17263769
2026-09-15,TPEX,00749B,凱基新興債10+,30.35,30.44,30.35,30.4,106000,3223240
2026-09-15,TPEX,00750B,凱基科技債10+,31.34,31.34,31.28,31.28,103000,3227880
2026-09-15,TPEX,00751B,元大AAA至A公司債,29.95,30.0,29.91,29.93,2299546,68914522
2026-09-15,TPEX,00754B,群益AAA-AA公司債,31.04,31.04,30.94,30.96,106146,3290859
2026-09-15,TPEX,00755B,群益投資級公用債,31.08,31.13,31.08,31.11,118279,3679633
2026-09-15,TPEX,00756B,群益投等新興公債,29.77,29.82,29.72,29.72,164444,4896419
2026-09-15,TPEX,00758B,復華能源債,49.49,49.49,49.33,49.4,103312,5112509
2026-09-15,TPEX,00759B,復華製藥債,51.9,51.9,51.75,51.75,102000,5293549
2026-09-15,TPEX,00760B,復華新興企業債,51.2,51.35,51.2,51.35,105769,5430472
2026-09-15,TPEX,00761B,國泰A級公司債,32.58,32.58,32.48,32.5,313848,10206652
2026-09-15,TPEX,00764B,群益25年美債,26.6,26.65,26.58,26.58,4389577,116802980
2026-09-15,TPEX,00768B,復華20年美債,47.17,47.4,47.15,47.16,457751,21613295
2026-09-15,TPEX,00772B,中信高評級公司債,31.88,31.98,31.88,31.92,1101017,35163086
2026-09-15,TPEX,00773B,中信優先金融債,34.1,34.21,34.1,34.15,1726903,58983142
2026-09-15,TPEX,00777B,凱基AAA至A公司債,30.84,30.84,30.77,30.77,116000,3573209
2026-09-15,TPEX,00778B,凱基金融債20+,32.74,32.74,32.66,32.66,101076,3309137
2026-09-15,TPEX,00779B,凱基美債25+,26.9,26.94,26.9,26.92,310000,8351100
2026-09-15,TPEX,00780B,國泰A級金融債,35.82,35.83,35.81,35.82,105189,3768868
2026-09-15,TPEX,00781B,國泰A級科技債,26.81,26.86,26.76,26.77,121329,3249270
2026-09-15,TPEX,00782B,國泰A級公用債,28.96,28.96,28.93,28.93,109434,3168081
2026-09-15,TPEX,00785B,富邦金融投等債,33.29,33.29,33.24,33.24,52010,1729365
2026-09-15,TPEX,00786B,元大10年IG銀行債,31.22,31.22,31.19,31.2,24025,749677
2026-09-15,TPEX,00787B,元大10年IG醫療債,31.33,31.33,31.25,31.25,4375,136766
2026-09-15,TPEX,00788B,元大10年IG電能債,28.67,28.68,28.58,28.58,33123,948148
2026-09-15,TPEX,00789B,復華公司債A3,45.49,45.49,45.42,45.42,108106,4917480
2026-09-15,TPEX,00791B,復華信用債1-5,56.4,56.55,56.4,56.5,129008,7287202
2026-09-15,TPEX,00792B,群益A級公司債,30.38,30.4,30.28,30.28,144595,4390782
2026-09-15,TPEX,00793B,群益AAA-A醫療債,29.3,29.36,29.26,29.26,110021,3224285
2026-09-15,TPEX,00795B,中信美國公債20年,25.5,25.54,25.46,25.47,4930519,125774142
2026-09-15,TPEX,00799B,國泰A級醫療債,28.05,28.1,28.03,28.03,145644,4088764
2026-09-15,TPEX,00834B,第一金金融債10+,32.65,32.65,32.65,32.65,100000,3265000
2026-09-15,TPEX,00836B,永豐10年A公司債,27.41,27.48,27.32,27.32,107043,2933544
2026-09-15,TPEX,00840B,凱基IG精選15+,28.35,28.35,28.35,28.35,100087,2837467
2026-09-15,TPEX,00841B,凱基AAA-AA公司債,27.0,27.0,27.0,27.0,100000,2700000
2026-09-15,TPEX,00842B,台新美元銀行債,28.86,28.88,28.79,28.79,347046,10008837
2026-09-15,TPEX,00844B,台新15年IG金融債,30.01,30.04,30.01,30.04,81000,2433210
2026-09-15,TPEX,00845B,富邦新興投等債,31.85,32.09,31.85,32.06,113030,3623280
2026-09-15,TPEX,00846B,富邦歐洲銀行債,34.48,34.68,34.48,34.66,102140,3540027
2026-09-15,TPEX,00847B,中信美國市政債,24.15,24.15,24.08,24.08,333034,8032696
2026-09-15,TPEX,00848B,中信新興亞洲債,32.94,32.95,32.89,32.89,322001,10606862
2026-09-15,TPEX,00849B,中信EM主權債0-5,37.12,37.22,37.12,37.22,308044,11457095
2026-09-15,TPEX,00853B,統一美債10年Aa-A,26.39,26.42,26.38,26.39,1098547,29011633
2026-09-15,TPEX,00856B,永豐1-3年美公債,37.33,37.33,37.33,37.33,1291,48108
2026-09-15,TPEX,00857B,永豐20年美公債,22.15,22.21,22.13,22.13,2225215,49356010
2026-09-15,TPEX,00859B,群益0-1年美債,41.04,41.17,41.03,41.17,3259850,134090492
