trade_date,market,stock_id,name,open,high,low,close,volume,trading_value
2026-09-02,TPEX,1240,茂生農經,55.0,55.8,54.8,55.2,46121,2545928
2026-09-02,TPEX,1259,安心,62.1,62.1,62.1,62.1,1006,62470
2026-09-02,TPEX,1264,德麥,253.0,253.5,251.5,252.5,11878,2999180
2026-09-02,TPEX,1268,漢來美食,182.5,183.0,181.0,181.5,55815,10135318
2026-09-02,TPEX,1294,漢田生技,53.8,53.8,53.6,53.6,13105,703437
2026-09-02,TPEX,1295,生合,45.5,45.5,45.25,45.45,17192,780704
2026-09-02,TPEX,1336,台翰,16.95,17.1,16.6,16.65,217741,3651238
2026-09-02,TPEX,1565,精華,99.5,100.5,98.7,100.5,170239,17002863
2026-09-02,TPEX,1569,濱川,46.35,48.0,45.95,47.9,650345,30633469
2026-09-02,TPEX,1570,力肯,33.1,33.2,32.9,33.15,35221,1163295
2026-09-02,TPEX,1580,新麥,104.0,104.0,102.0,103.0,139724,14324694
2026-09-02,TPEX,1584,精剛,18.3,18.3,17.9,18.05,359750,6487438
2026-09-02,TPEX,1586,和勤,18.15,18.2,18.05,18.15,79203,1432870
2026-09-02,TPEX,1591,駿吉-KY,37.0,37.0,36.0,36.3,213403,7749669
2026-09-02,TPEX,1593,祺驊,31.45,31.6,31.45,31.6,7226,228142
2026-09-02,TPEX,1595,川寶,66.5,73.0,65.0,73.0,740810,52404122
2026-09-02,TPEX,1599,宏佳騰,22.9,22.95,22.9,22.9,8436,193280
2026-09-02,TPEX,1742,台蠟,18.05,18.05,17.6,17.9,74037,1312102
2026-09-02,TPEX,1777,生泰,74.1,74.4,73.5,74.4,64139,4734175
2026-09-02,TPEX,1780,立弘,24.6,24.6,24.15,24.55,35000,850050
2026-09-02,TPEX,1781,合世,10.45,10.45,10.35,10.35,11009,114492
2026-09-02,TPEX,1784,訊聯,60.1,60.4,59.7,60.3,56908,3413568
2026-09-02,TPEX,1785,光洋科,103.0,104.0,102.0,102.0,3364332,345286944
2026-09-02,TPEX,1788,杏昌,129.0,129.0,129.0,129.0,13470,1738723
2026-09-02,TPEX,1796,金穎生技,30.3,30.3,29.9,29.9,7001,210027
2026-09-02,TPEX,1799,易威,30.4,30.55,30.1,30.15,52124,1580400
2026-09-02,TPEX,1813,寶利徠,11.4,11.5,11.35,11.5,13363,152570
2026-09-02,TPEX,1815,富喬,128.5,139.0,126.0,131.0,122385247,16138390042
2026-09-02,TPEX,2035,唐榮,,,,,4,102
2026-09-02,TPEX,2061,風青,55.0,56.1,53.7,56.0,2117022,116344539
2026-09-02,TPEX,2063,世鎧,24.05,24.05,23.85,24.0,32108,770003
2026-09-02,TPEX,2064,晉椿,12.4,12.4,12.35,12.35,3000,37100
2026-09-02,TPEX,2065,世豐,36.5,36.5,36.1,36.2,58802,2134679
2026-09-02,TPEX,2066,世德,54.7,55.0,54.0,54.1,17000,922800
2026-09-02,TPEX,2067,嘉鋼,4.8,4.88,4.76,4.84,34863,168476
2026-09-02,TPEX,2070,精湛,68.1,69.4,66.4,66.4,177269,11961335
2026-09-02,TPEX,2073,雄順,,,,,0,0
2026-09-02,TPEX,2221,大甲,78.5,85.4,78.1,83.2,3234388,269762355
2026-09-02,TPEX,2230,泰茂,22.75,23.05,22.4,22.65,77713,1764844
2026-09-02,TPEX,2235,謚源,28.4,28.4,28.4,28.4,1000,28400
2026-09-02,TPEX,2596,綠意,35.3,35.85,35.3,35.75,110717,3939334
2026-09-02,TPEX,2640,大車隊,157.5,158.5,156.5,158.5,34164,5385411
2026-09-02,TPEX,2641,正德,17.95,18.15,17.8,17.9,1128578,20218957
2026-09-02,TPEX,2643,捷迅,62.6,62.6,62.6,62.6,7268,455041
2026-09-02,TPEX,2718,全心投控,41.65,41.7,41.65,41.7,10536,439185
2026-09-02,TPEX,2719,燦星旅,20.25,20.4,20.25,20.4,5020,101900
2026-09-02,TPEX,2724,藝舍-KY,10.9,10.9,10.4,10.4,12525,133540
2026-09-02,TPEX,2726,雅茗-KY,8.33,8.7,8.16,8.25,26244,217772
2026-09-02,TPEX,2729,瓦城,154.5,156.0,153.5,155.0,17107,2641484
