trade_date,market,stock_id,name,foreign_buy,foreign_sell,foreign_net,trust_buy,trust_sell,trust_net,dealer_buy,dealer_sell,dealer_net,raw_json
2026-09-02,TWSE,2464,盟立            ,15204370,3570130,11634240,0,0,0,578012,370593,196419,"{""證券代號"":""2464"",""證券名稱"":""盟立            "",""外陸資買進股數(不含外資自營商)"":""15,204,370"",""外陸資賣出股數(不含外資自營商)"":""3,570,130"",""外陸資買賣超股數(不含外資自營商)"":""11,634,240"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""196,419"",""自營商買進股數(自行買賣)"":""46,000"",""自營商賣出股數(自行買賣)"":""57,000"",""自營商買賣超股數(自行買賣)"":""-11,000"",""自營商買進股數(避險)"":""578,012"",""自營商賣出股數(避險)"":""370,593"",""自營商買賣超股數(避險)"":""207,419"",""三大法人買賣超股數"":""11,830,659""}"
2026-09-02,TWSE,2801,彰銀            ,17069068,8641153,8427915,3773000,467000,3306000,145000,171210,-28660,"{""證券代號"":""2801"",""證券名稱"":""彰銀            "",""外陸資買進股數(不含外資自營商)"":""17,069,068"",""外陸資賣出股數(不含外資自營商)"":""8,641,153"",""外陸資買賣超股數(不含外資自營商)"":""8,427,915"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""3,773,000"",""投信賣出股數"":""467,000"",""投信買賣超股數"":""3,306,000"",""自營商買賣超股數"":""-28,660"",""自營商買進股數(自行買賣)"":""204,000"",""自營商賣出股數(自行買賣)"":""206,450"",""自營商買賣超股數(自行買賣)"":""-2,450"",""自營商買進股數(避險)"":""145,000"",""自營商賣出股數(避險)"":""171,210"",""自營商買賣超股數(避險)"":""-26,210"",""三大法人買賣超股數"":""11,705,255""}"
2026-09-02,TWSE,2889,國票金          ,14547019,3455430,11091589,0,0,0,0,0,27000,"{""證券代號"":""2889"",""證券名稱"":""國票金          "",""外陸資買進股數(不含外資自營商)"":""14,547,019"",""外陸資賣出股數(不含外資自營商)"":""3,455,430"",""外陸資買賣超股數(不含外資自營商)"":""11,091,589"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""27,000"",""自營商買進股數(自行買賣)"":""27,000"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""27,000"",""自營商買進股數(避險)"":""0"",""自營商賣出股數(避險)"":""0"",""自營商買賣超股數(避險)"":""0"",""三大法人買賣超股數"":""11,118,589""}"
2026-09-02,TWSE,2409,友達            ,34333831,24037996,10295835,0,65451,-65451,558286,438006,368274,"{""證券代號"":""2409"",""證券名稱"":""友達            "",""外陸資買進股數(不含外資自營商)"":""34,333,831"",""外陸資賣出股數(不含外資自營商)"":""24,037,996"",""外陸資買賣超股數(不含外資自營商)"":""10,295,835"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""65,451"",""投信買賣超股數"":""-65,451"",""自營商買賣超股數"":""368,274"",""自營商買進股數(自行買賣)"":""613,994"",""自營商賣出股數(自行買賣)"":""366,000"",""自營商買賣超股數(自行買賣)"":""247,994"",""自營商買進股數(避險)"":""558,286"",""自營商賣出股數(避險)"":""438,006"",""自營商買賣超股數(避險)"":""120,280"",""三大法人買賣超股數"":""10,598,658""}"
2026-09-02,TWSE,2880,華南金          ,21057569,8480161,12577408,8000,2127113,-2119113,40842,1173815,-1672068,"{""證券代號"":""2880"",""證券名稱"":""華南金          "",""外陸資買進股數(不含外資自營商)"":""21,057,569"",""外陸資賣出股數(不含外資自營商)"":""8,480,161"",""外陸資買賣超股數(不含外資自營商)"":""12,577,408"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""8,000"",""投信賣出股數"":""2,127,113"",""投信買賣超股數"":""-2,119,113"",""自營商買賣超股數"":""-1,672,068"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""539,095"",""自營商買賣超股數(自行買賣)"":""-539,095"",""自營商買進股數(避險)"":""40,842"",""自營商賣出股數(避險)"":""1,173,815"",""自營商買賣超股數(避險)"":""-1,132,973"",""三大法人買賣超股數"":""8,786,227""}"
2026-09-02,TWSE,2890,永豐金          ,16627185,14747000,1880185,7626000,690916,6935084,20472,1040844,-1016481,"{""證券代號"":""2890"",""證券名稱"":""永豐金          "",""外陸資買進股數(不含外資自營商)"":""16,627,185"",""外陸資賣出股數(不含外資自營商)"":""14,747,000"",""外陸資買賣超股數(不含外資自營商)"":""1,880,185"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""7,626,000"",""投信賣出股數"":""690,916"",""投信買賣超股數"":""6,935,084"",""自營商買賣超股數"":""-1,016,481"",""自營商買進股數(自行買賣)"":""175,188"",""自營商賣出股數(自行買賣)"":""171,297"",""自營商買賣超股數(自行買賣)"":""3,891"",""自營商買進股數(避險)"":""20,472"",""自營商賣出股數(避險)"":""1,040,844"",""自營商買賣超股數(避險)"":""-1,020,372"",""三大法人買賣超股數"":""7,798,788""}"
2026-09-02,TWSE,2834,臺企銀          ,24358517,16631132,7727385,6000,277000,-271000,183744,10000,186744,"{""證券代號"":""2834"",""證券名稱"":""臺企銀          "",""外陸資買進股數(不含外資自營商)"":""24,358,517"",""外陸資賣出股數(不含外資自營商)"":""16,631,132"",""外陸資買賣超股數(不含外資自營商)"":""7,727,385"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""6,000"",""投信賣出股數"":""277,000"",""投信買賣超股數"":""-271,000"",""自營商買賣超股數"":""186,744"",""自營商買進股數(自行買賣)"":""26,000"",""自營商賣出股數(自行買賣)"":""13,000"",""自營商買賣超股數(自行買賣)"":""13,000"",""自營商買進股數(避險)"":""183,744"",""自營商賣出股數(避險)"":""10,000"",""自營商買賣超股數(避險)"":""173,744"",""三大法人買賣超股數"":""7,643,129""}"
2026-09-02,TWSE,3019,亞光            ,8989446,2237253,6752193,0,0,0,226154,54790,532146,"{""證券代號"":""3019"",""證券名稱"":""亞光            "",""外陸資買進股數(不含外資自營商)"":""8,989,446"",""外陸資賣出股數(不含外資自營商)"":""2,237,253"",""外陸資買賣超股數(不含外資自營商)"":""6,752,193"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""532,146"",""自營商買進股數(自行買賣)"":""381,089"",""自營商賣出股數(自行買賣)"":""20,307"",""自營商買賣超股數(自行買賣)"":""360,782"",""自營商買進股數(避險)"":""226,154"",""自營商賣出股數(避險)"":""54,790"",""自營商買賣超股數(避險)"":""171,364"",""三大法人買賣超股數"":""7,284,339""}"
2026-09-02,TWSE,5876,上海商銀        ,14826025,6903919,7922106,49000,900000,-851000,8040,303576,-299886,"{""證券代號"":""5876"",""證券名稱"":""上海商銀        "",""外陸資買進股數(不含外資自營商)"":""14,826,025"",""外陸資賣出股數(不含外資自營商)"":""6,903,919"",""外陸資買賣超股數(不含外資自營商)"":""7,922,106"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""49,000"",""投信賣出股數"":""900,000"",""投信買賣超股數"":""-851,000"",""自營商買賣超股數"":""-299,886"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""4,350"",""自營商買賣超股數(自行買賣)"":""-4,350"",""自營商買進股數(避險)"":""8,040"",""自營商賣出股數(避險)"":""303,576"",""自營商買賣超股數(避險)"":""-295,536"",""三大法人買賣超股數"":""6,771,220""}"
2026-09-02,TWSE,2891,中信金          ,22252751,21321995,930756,5282000,23121,5258879,214599,634644,-428073,"{""證券代號"":""2891"",""證券名稱"":""中信金          "",""外陸資買進股數(不含外資自營商)"":""22,252,751"",""外陸資賣出股數(不含外資自營商)"":""21,321,995"",""外陸資買賣超股數(不含外資自營商)"":""930,756"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""5,282,000"",""投信賣出股數"":""23,121"",""投信買賣超股數"":""5,258,879"",""自營商買賣超股數"":""-428,073"",""自營商買進股數(自行買賣)"":""166,000"",""自營商賣出股數(自行買賣)"":""174,028"",""自營商買賣超股數(自行買賣)"":""-8,028"",""自營商買進股數(避險)"":""214,599"",""自營商賣出股數(避險)"":""634,644"",""自營商買賣超股數(避險)"":""-420,045"",""三大法人買賣超股數"":""5,761,562""}"
2026-09-02,TWSE,3481,群創            ,42535228,37895603,4639625,4000,85486,-81486,658435,667893,1119278,"{""證券代號"":""3481"",""證券名稱"":""群創            "",""外陸資買進股數(不含外資自營商)"":""42,535,228"",""外陸資賣出股數(不含外資自營商)"":""37,895,603"",""外陸資買賣超股數(不含外資自營商)"":""4,639,625"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""4,000"",""投信賣出股數"":""85,486"",""投信買賣超股數"":""-81,486"",""自營商買賣超股數"":""1,119,278"",""自營商買進股數(自行買賣)"":""3,650,726"",""自營商賣出股數(自行買賣)"":""2,521,990"",""自營商買賣超股數(自行買賣)"":""1,128,736"",""自營商買進股數(避險)"":""658,435"",""自營商賣出股數(避險)"":""667,893"",""自營商買賣超股數(避險)"":""-9,458"",""三大法人買賣超股數"":""5,677,417""}"
2026-09-02,TWSE,2412,中華電          ,8231680,3006962,5224718,137000,17776,119224,0,2993,-1993,"{""證券代號"":""2412"",""證券名稱"":""中華電          "",""外陸資買進股數(不含外資自營商)"":""8,231,680"",""外陸資賣出股數(不含外資自營商)"":""3,006,962"",""外陸資買賣超股數(不含外資自營商)"":""5,224,718"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""137,000"",""投信賣出股數"":""17,776"",""投信買賣超股數"":""119,224"",""自營商買賣超股數"":""-1,993"",""自營商買進股數(自行買賣)"":""1,000"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""1,000"",""自營商買進股數(避險)"":""0"",""自營商賣出股數(避險)"":""2,993"",""自營商買賣超股數(避險)"":""-2,993"",""三大法人買賣超股數"":""5,341,949""}"
2026-09-02,TWSE,2353,宏碁            ,7705865,5271151,2434714,2698000,177423,2520577,637268,619249,-109250,"{""證券代號"":""2353"",""證券名稱"":""宏碁            "",""外陸資買進股數(不含外資自營商)"":""7,705,865"",""外陸資賣出股數(不含外資自營商)"":""5,271,151"",""外陸資買賣超股數(不含外資自營商)"":""2,434,714"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""2,698,000"",""投信賣出股數"":""177,423"",""投信買賣超股數"":""2,520,577"",""自營商買賣超股數"":""-109,250"",""自營商買進股數(自行買賣)"":""74,000"",""自營商賣出股數(自行買賣)"":""201,269"",""自營商買賣超股數(自行買賣)"":""-127,269"",""自營商買進股數(避險)"":""637,268"",""自營商賣出股數(避險)"":""619,249"",""自營商買賣超股數(避險)"":""18,019"",""三大法人買賣超股數"":""4,846,041""}"
