trade_date,market,stock_id,name,foreign_buy,foreign_sell,foreign_net,trust_buy,trust_sell,trust_net,dealer_buy,dealer_sell,dealer_net,raw_json
2026-09-22,TWSE,00403A,主動統一升級50  ,252533131,16250650,236282481,0,0,0,207568440,48087000,159481440,"{""證券代號"":""00403A"",""證券名稱"":""主動統一升級50  "",""外陸資買進股數(不含外資自營商)"":""252,533,131"",""外陸資賣出股數(不含外資自營商)"":""16,250,650"",""外陸資買賣超股數(不含外資自營商)"":""236,282,481"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""159,481,440"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""0"",""自營商買進股數(避險)"":""207,568,440"",""自營商賣出股數(避險)"":""48,087,000"",""自營商買賣超股數(避險)"":""159,481,440"",""三大法人買賣超股數"":""395,763,921""}"
2026-09-22,TWSE,2409,友達            ,377538286,132224327,245313959,0,42863,-42863,8923180,5526005,5213522,"{""證券代號"":""2409"",""證券名稱"":""友達            "",""外陸資買進股數(不含外資自營商)"":""377,538,286"",""外陸資賣出股數(不含外資自營商)"":""132,224,327"",""外陸資買賣超股數(不含外資自營商)"":""245,313,959"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""42,863"",""投信買賣超股數"":""-42,863"",""自營商買賣超股數"":""5,213,522"",""自營商買進股數(自行買賣)"":""3,370,482"",""自營商賣出股數(自行買賣)"":""1,554,135"",""自營商買賣超股數(自行買賣)"":""1,816,347"",""自營商買進股數(避險)"":""8,923,180"",""自營商賣出股數(避險)"":""5,526,005"",""自營商買賣超股數(避險)"":""3,397,175"",""三大法人買賣超股數"":""250,484,618""}"
2026-09-22,TWSE,00409A,主動復華全球50  ,122455000,1372000,121083000,0,0,0,36031950,3247227,32784723,"{""證券代號"":""00409A"",""證券名稱"":""主動復華全球50  "",""外陸資買進股數(不含外資自營商)"":""122,455,000"",""外陸資賣出股數(不含外資自營商)"":""1,372,000"",""外陸資買賣超股數(不含外資自營商)"":""121,083,000"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""32,784,723"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""0"",""自營商買進股數(避險)"":""36,031,950"",""自營商賣出股數(避險)"":""3,247,227"",""自營商買賣超股數(避險)"":""32,784,723"",""三大法人買賣超股數"":""153,867,723""}"
2026-09-22,TWSE,00981A,主動統一台股增長,129424726,26532365,102892361,0,0,0,59425670,16959036,45079230,"{""證券代號"":""00981A"",""證券名稱"":""主動統一台股增長"",""外陸資買進股數(不含外資自營商)"":""129,424,726"",""外陸資賣出股數(不含外資自營商)"":""26,532,365"",""外陸資買賣超股數(不含外資自營商)"":""102,892,361"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""45,079,230"",""自營商買進股數(自行買賣)"":""3,042,596"",""自營商賣出股數(自行買賣)"":""430,000"",""自營商買賣超股數(自行買賣)"":""2,612,596"",""自營商買進股數(避險)"":""59,425,670"",""自營商賣出股數(避險)"":""16,959,036"",""自營商買賣超股數(避險)"":""42,466,634"",""三大法人買賣超股數"":""147,971,591""}"
2026-09-22,TWSE,00405A,主動富邦台灣龍耀,91640005,6394800,85245205,0,0,0,66526551,25472177,41054374,"{""證券代號"":""00405A"",""證券名稱"":""主動富邦台灣龍耀"",""外陸資買進股數(不含外資自營商)"":""91,640,005"",""外陸資賣出股數(不含外資自營商)"":""6,394,800"",""外陸資買賣超股數(不含外資自營商)"":""85,245,205"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""41,054,374"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""0"",""自營商買進股數(避險)"":""66,526,551"",""自營商賣出股數(避險)"":""25,472,177"",""自營商買賣超股數(避險)"":""41,054,374"",""三大法人買賣超股數"":""126,299,579""}"
2026-09-22,TWSE,00407A,主動凱基台灣    ,35398000,2675198,32722802,0,0,0,108769874,20236000,88533874,"{""證券代號"":""00407A"",""證券名稱"":""主動凱基台灣    "",""外陸資買進股數(不含外資自營商)"":""35,398,000"",""外陸資賣出股數(不含外資自營商)"":""2,675,198"",""外陸資買賣超股數(不含外資自營商)"":""32,722,802"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""88,533,874"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""0"",""自營商買進股數(避險)"":""108,769,874"",""自營商賣出股數(避險)"":""20,236,000"",""自營商買賣超股數(避險)"":""88,533,874"",""三大法人買賣超股數"":""121,256,676""}"
2026-09-22,TWSE,00631L,元大台灣50正2   ,14800345,14755000,45345,0,0,0,86075584,13364740,72945844,"{""證券代號"":""00631L"",""證券名稱"":""元大台灣50正2   "",""外陸資買進股數(不含外資自營商)"":""14,800,345"",""外陸資賣出股數(不含外資自營商)"":""14,755,000"",""外陸資買賣超股數(不含外資自營商)"":""45,345"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""72,945,844"",""自營商買進股數(自行買賣)"":""245,000"",""自營商賣出股數(自行買賣)"":""10,000"",""自營商買賣超股數(自行買賣)"":""235,000"",""自營商買進股數(避險)"":""86,075,584"",""自營商賣出股數(避險)"":""13,364,740"",""自營商買賣超股數(避險)"":""72,710,844"",""三大法人買賣超股數"":""72,991,189""}"
2026-09-22,TWSE,00685L,群益臺灣加權正2 ,6336000,7661000,-1325000,0,0,0,104317336,38873896,61661440,"{""證券代號"":""00685L"",""證券名稱"":""群益臺灣加權正2 "",""外陸資買進股數(不含外資自營商)"":""6,336,000"",""外陸資賣出股數(不含外資自營商)"":""7,661,000"",""外陸資買賣超股數(不含外資自營商)"":""-1,325,000"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""61,661,440"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""3,782,000"",""自營商買賣超股數(自行買賣)"":""-3,782,000"",""自營商買進股數(避險)"":""104,317,336"",""自營商賣出股數(避險)"":""38,873,896"",""自營商買賣超股數(避險)"":""65,443,440"",""三大法人買賣超股數"":""60,336,440""}"
2026-09-22,TWSE,2303,聯電            ,135123883,84578708,50545175,8806000,948112,7857888,1599645,859549,1700945,"{""證券代號"":""2303"",""證券名稱"":""聯電            "",""外陸資買進股數(不含外資自營商)"":""135,123,883"",""外陸資賣出股數(不含外資自營商)"":""84,578,708"",""外陸資買賣超股數(不含外資自營商)"":""50,545,175"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""8,806,000"",""投信賣出股數"":""948,112"",""投信買賣超股數"":""7,857,888"",""自營商買賣超股數"":""1,700,945"",""自營商買進股數(自行買賣)"":""2,295,849"",""自營商賣出股數(自行買賣)"":""1,335,000"",""自營商買賣超股數(自行買賣)"":""960,849"",""自營商買進股數(避險)"":""1,599,645"",""自營商賣出股數(避險)"":""859,549"",""自營商買賣超股數(避險)"":""740,096"",""三大法人買賣超股數"":""60,104,008""}"
2026-09-22,TWSE,00991A,主動復華未來50  ,50004100,6981835,43022265,0,0,0,21491374,9957147,11684227,"{""證券代號"":""00991A"",""證券名稱"":""主動復華未來50  "",""外陸資買進股數(不含外資自營商)"":""50,004,100"",""外陸資賣出股數(不含外資自營商)"":""6,981,835"",""外陸資買賣超股數(不含外資自營商)"":""43,022,265"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""11,684,227"",""自營商買進股數(自行買賣)"":""150,000"",""自營商賣出股數(自行買賣)"":""0"",""自營商買賣超股數(自行買賣)"":""150,000"",""自營商買進股數(避險)"":""21,491,374"",""自營商賣出股數(避險)"":""9,957,147"",""自營商買賣超股數(避險)"":""11,534,227"",""三大法人買賣超股數"":""54,706,492""}"
