strategy,final_nav,total_return,cagr,max_drawdown,buys,sells,completed_sells
short_layer,844227.099635625,-0.15577290036437497,-0.029548762561066866,-0.15577290036437497,19,19.0,
swing_layer,842278.0631982498,-0.15772193680175017,-0.029945990637998854,-0.15850559760797545,48,48.0,
large_layer,1026609.9327187978,0.026609932718797857,0.004662638318781331,-0.14277637909471141,10,10.0,
combined_three_layer,941102.1013523751,-0.05889789864762485,-0.010694848159656822,-0.1527101778936527,27,27.0,
0050_BH,3473949.5065,2.4739495065000003,0.24679824492922053,-0.36124275448059184,1,,0.0
