code,layer,exit_reason,buy_date,sell_date,pnl,return_pct,win
5284,swing,two_closes_below_ma5,2021-01-05,2021-01-07,-1635.011175000007,-0.01564323655692054,False
1707,swing,two_closes_below_ma5,2021-01-06,2021-01-08,-1498.7997500000056,-0.016736561358967644,False
4943,swing,two_closes_below_ma5,2021-01-06,2021-01-08,-4660.344920000003,-0.046771270765810974,False
5388,swing,two_closes_below_ma5,2021-01-06,2021-01-12,-3265.0103850000014,-0.031711966581450445,False
3308,swing,two_closes_below_ma5,2021-01-08,2021-01-13,-10207.228195500007,-0.05140726548002433,False
6655,swing,two_closes_below_ma5,2021-01-11,2021-01-13,-770.1116849999962,-0.008878819169445207,False
2493,swing,two_closes_below_ma5,2021-01-06,2021-01-14,-16.230515000032028,-0.00015264371303826357,False
1760,swing,two_closes_below_ma5,2021-01-13,2021-01-15,-5585.8515300000145,-0.038656192431897114,False
2313,swing,two_closes_below_ma5,2021-01-15,2021-01-19,-6767.224625000017,-0.05906214265656464,False
3311,swing,two_closes_below_ma5,2021-01-18,2021-01-20,-4823.923825000005,-0.04160276641756724,False
1762,swing,two_closes_below_ma5,2021-01-21,2021-01-25,-4701.122964999988,-0.04952174258886698,False
1316,swing,two_closes_below_ma5,2021-01-21,2021-01-25,-3979.074645000015,-0.04192000190051773,False
2349,swing,two_closes_below_ma5,2021-01-20,2021-01-27,-9560.702252500007,-0.08129119130239415,False
3312,swing,two_closes_below_ma5,2021-01-20,2021-01-29,116.03983999999764,0.0009910276481443295,True
5434,swing,two_closes_below_ma5,2021-01-20,2021-01-29,-629.4833999999973,-0.005841675612252515,False
6504,swing,two_closes_below_ma5,2021-01-21,2021-01-29,-4923.6547500000015,-0.053946110663272595,False
4133,swing,two_closes_below_ma5,2021-01-21,2021-01-29,-2695.175664999988,-0.029212486131313383,False
2421,swing,two_closes_below_ma5,2021-01-26,2021-02-01,-4010.3827049999963,-0.04443192480290443,False
1467,swing,two_closes_below_ma5,2021-02-17,2021-02-19,-1084.780620000005,-0.05330812080848475,False
5203,swing,two_closes_below_ma5,2021-02-23,2021-03-02,-304.3990249999988,-0.029399929744663503,False
6191,swing,two_closes_below_ma5,2021-02-04,2021-03-09,22274.649809999944,0.12017839367633486,True
2936,swing,two_closes_below_ma5,2021-03-16,2021-03-22,-5767.886162499999,-0.0502864007025283,False
8442,swing,two_closes_below_ma5,2021-03-22,2021-03-24,-5363.4184687499655,-0.04204450310990142,False
2243,swing,two_closes_below_ma5,2021-03-19,2021-03-25,-7505.101660000015,-0.03968536325098444,False
2349,swing,two_closes_below_ma5,2021-03-23,2021-03-25,-3544.862859999994,-0.0383608731389545,False
2358,swing,two_closes_below_ma5,2021-03-23,2021-03-31,-1195.2910550000088,-0.012892443870321766,False
2712,swing,two_closes_below_ma5,2021-04-01,2021-04-07,-3118.650937499973,-0.0326762833399421,False
6698,swing,trail_8pct,2021-03-16,2021-04-14,17238.29309999998,0.14921054011794643,True
1723,swing,two_closes_below_ma5,2021-04-13,2021-04-23,1031.3323999999993,0.011373187147708446,True
3706,swing,two_closes_below_ma5,2021-04-22,2021-04-26,-2663.2030424999975,-0.02727460797882087,False
1456,swing,two_closes_below_ma5,2021-04-14,2021-04-28,4081.8721125000156,0.03535273009442221,True
1339,swing,two_closes_below_ma5,2021-04-22,2021-04-28,-2017.0397974999942,-0.021100303967672453,False
2530,swing,two_closes_below_ma5,2021-04-23,2021-04-28,-12172.84362,-0.0641310887685374,False
6230,swing,two_closes_below_ma5,2021-04-26,2021-05-04,-5394.287499999991,-0.061072693633793966,False
6672,swing,prior_swing_low_minus_3pct,2021-05-03,2021-05-05,-7563.679199999984,-0.08198997279939899,False
2748,swing,two_closes_below_ma5,2021-05-03,2021-05-05,-5297.9086650000245,-0.052862677441403,False
3705,swing,two_closes_below_ma5,2021-05-04,2021-05-06,-3459.0315200000186,-0.027787775488361904,False
9919,swing,two_closes_below_ma5,2021-05-04,2021-05-06,-10126.185160000008,-0.07990504648354611,False
4133,swing,two_closes_below_ma5,2021-05-04,2021-05-06,-7631.431500000035,-0.06159770331080519,False
1410,swing,two_closes_below_ma5,2021-05-04,2021-05-10,-5011.954587500004,-0.03938277967391747,False
2739,swing,two_closes_below_ma5,2021-05-10,2021-05-12,-6004.383682499989,-0.058064000045071854,False
5880,swing,two_closes_below_ma5,2021-05-11,2021-05-13,-6409.673094999991,-0.06983347580272814,False
2886,swing,two_closes_below_ma5,2021-05-11,2021-05-13,-5720.259019999983,-0.06308109428912267,False
2801,swing,prior_swing_low_minus_3pct,2021-05-11,2021-05-13,-3668.1155,-0.06107269363379406,False
9930,swing,two_closes_below_ma5,2021-05-11,2021-05-14,-7674.533247500003,-0.08340012645101302,False
4904,swing,two_closes_below_ma5,2021-05-17,2021-05-21,-991.0382300000056,-0.011968999645459062,False
2429,swing,two_closes_below_ma5,2021-06-08,2021-06-15,-6115.475624999992,-0.03596768544218424,False
2497,swing,two_closes_below_ma5,2021-06-21,2021-06-23,-6929.357295000023,-0.04098868708050638,False
1616,swing,trail_8pct,2021-06-23,2021-07-05,30628.88307849999,0.18227073460487928,True
2020,swing,two_closes_below_ma5,2021-06-23,2021-07-06,42145.01564000003,0.25139868229629725,True
2371,swing,two_closes_below_ma5,2021-06-30,2021-07-06,-4535.320930000016,-0.03727751195652927,False
4306,swing,two_closes_below_ma5,2021-07-02,2021-07-08,-2724.375500000002,-0.05579938035535547,False
3518,swing,prior_swing_low_minus_3pct,2021-07-06,2021-07-08,-10494.5444975,-0.06034184840477556,False
2417,swing,two_closes_below_ma5,2021-07-16,2021-07-21,-5106.525812500011,-0.050213036290596015,False
2340,swing,two_closes_below_ma5,2021-07-02,2021-07-22,9030.753899999996,0.19039814260953736,True
1603,swing,two_closes_below_ma5,2021-07-16,2021-07-23,-2311.3826750000007,-0.022355933492447688,False
3711,swing,two_closes_below_ma5,2021-07-16,2021-07-26,-2843.020949999991,-0.030571982189062086,False
6715,swing,two_closes_below_ma5,2021-07-15,2021-07-27,4924.813600000009,0.05338477775552826,True
5531,swing,two_closes_below_ma5,2021-07-26,2021-07-28,-4380.145525000029,-0.03804113551145109,False
2633,swing,two_closes_below_ma5,2021-07-26,2021-07-29,-4009.9380299999902,-0.03479774331286646,False
8249,swing,two_closes_below_ma5,2021-07-27,2021-07-29,-5328.243830000007,-0.048993789859467014,False
1109,swing,two_closes_below_ma5,2021-07-27,2021-07-30,-5553.019079999984,-0.05103069035715001,False
3454,swing,two_closes_below_ma5,2021-07-30,2021-08-03,-4986.724609999947,-0.032066475536149615,False
4557,swing,prior_swing_low_minus_3pct,2021-08-04,2021-08-05,-2193.266809999972,-0.024474950630502514,False
2115,swing,prior_swing_low_minus_3pct,2021-08-10,2021-08-11,-3107.6711399999913,-0.0437614790300272,False
1309,swing,two_closes_below_ma5,2021-08-09,2021-08-12,-5204.887799999982,-0.058280796019518154,False
2451,swing,two_closes_below_ma5,2021-08-09,2021-08-13,-5432.626080000002,-0.06158887137231317,False
6456,swing,prior_swing_low_minus_3pct,2021-08-13,2021-08-18,-6831.516300000003,-0.10176923322861417,False
2883,swing,two_closes_below_ma5,2021-08-16,2021-08-18,-5520.081280000013,-0.06145892452904975,False
2208,swing,two_closes_below_ma5,2021-08-16,2021-08-18,-5526.914085000011,-0.06187982750884803,False
1906,swing,portfolio_dd9_keep_best_swing,2021-08-17,2021-08-18,-287.4504149999998,-0.06990438386635554,False
1530,swing,prior_swing_low_minus_3pct,2021-08-17,2021-08-19,-4037.990039999975,-0.04487930615103816,False
1909,swing,two_closes_below_ma5,2021-08-23,2021-08-31,-5220.064814999991,-0.031246062095755398,False
5907,swing,portfolio_dd9_keep_best_swing,2021-09-02,2021-09-03,-2404.912649999991,-0.03946055614710376,False
6230,swing,two_closes_below_ma5,2021-09-02,2021-09-07,-1199.0397999999986,-0.01673656135896756,False
8072,swing,portfolio_dd9_keep_best_swing,2021-09-08,2021-09-09,-4553.4623225000105,-0.03276679689775411,False
1465,swing,two_closes_below_ma5,2021-09-08,2021-09-10,-2986.881239999988,-0.021254982967101255,False
2615,swing,two_closes_below_ma5,2021-10-15,2021-10-21,-387.0068999999985,-0.02397222256157307,False
2115,swing,two_closes_below_ma5,2021-10-21,2021-10-25,-852.9184999999852,-0.010769350082575761,False
1109,swing,two_closes_below_ma5,2021-10-22,2021-10-26,-1845.4909199999893,-0.033329924212835225,False
6024,swing,two_closes_below_ma5,2021-10-22,2021-10-27,-2243.5689149999816,-0.040413890999325186,False
2820,swing,two_closes_below_ma5,2021-10-22,2021-10-27,-2686.949904375004,-0.047730000203415134,False
2241,swing,two_closes_below_ma5,2021-10-20,2021-10-29,-1683.4528200000059,-0.02486035660053997,False
6442,swing,two_closes_below_ma5,2021-10-27,2021-11-04,-2544.0031924999785,-0.015826049027911276,False
1783,swing,two_closes_below_ma5,2021-11-02,2021-11-04,-707.3529750000016,-0.015400890269827069,False
3686,swing,two_closes_below_ma5,2021-11-02,2021-11-05,-2902.079880000005,-0.0633074747098103,False
2204,swing,prior_swing_low_minus_3pct,2021-11-10,2021-11-12,-4266.91409999998,-0.05195642375842087,False
2010,swing,two_closes_below_ma5,2021-11-09,2021-11-16,-4110.560509999996,-0.04796702834054688,False
2483,swing,two_closes_below_ma5,2021-11-23,2021-11-29,-5961.751845000021,-0.07132515805695472,False
3501,swing,two_closes_below_ma5,2021-11-24,2021-11-29,-3804.5608999999968,-0.0456080085877624,False
2923,swing,two_closes_below_ma5,2021-11-23,2021-11-30,-5023.566974999994,-0.06029204320239411,False
2906,swing,two_closes_below_ma5,2021-11-26,2021-11-30,-1345.604557499988,-0.015370349647917714,False
2236,swing,two_closes_below_ma5,2021-11-24,2021-12-01,-3077.1024900000048,-0.03585400238622233,False
2025,swing,two_closes_below_ma5,2021-11-26,2021-12-01,-4701.1364399999875,-0.0532694121885486,False
8464,swing,two_closes_below_ma5,2021-11-23,2021-12-02,-1912.3891500000027,-0.02488685424037034,False
6573,swing,prior_swing_low_minus_3pct,2021-11-30,2021-12-03,-2395.1690125000023,-0.047654414220973024,False
1533,swing,two_closes_below_ma5,2021-12-10,2021-12-14,-4025.763559999992,-0.04957791323337163,False
9958,swing,two_closes_below_ma5,2021-12-20,2021-12-24,-2529.190125000001,-0.04424264093195096,False
2458,swing,two_closes_below_ma5,2021-12-17,2021-12-29,-969.5090999999957,-0.014744585979903945,False
4106,swing,two_closes_below_ma5,2022-01-05,2022-01-07,-1122.945862499997,-0.014126328315483732,False
3033,swing,two_closes_below_ma5,2021-12-21,2022-01-10,-3101.7181300000084,-0.03577671232123394,False
1731,swing,two_closes_below_ma5,2022-01-11,2022-01-13,-2069.018875000009,-0.025774674597470647,False
8367,swing,two_closes_below_ma5,2022-01-17,2022-01-20,-4969.776000000042,-0.03329377924426162,False
2867,swing,two_closes_below_ma5,2022-01-17,2022-01-25,-10257.632315000024,-0.06797657088648691,False
2383,swing,two_closes_below_ma5,2022-01-19,2022-01-25,-706.726999999999,-0.013045721441149242,False
2338,swing,two_closes_below_ma5,2022-01-19,2022-01-25,-2993.7505500000043,-0.048652321160050346,False
6116,swing,two_closes_below_ma5,2022-01-21,2022-01-25,-5673.134372500004,-0.07726109546769423,False
2027,swing,two_closes_below_ma5,2022-01-24,2022-01-26,-1064.0499450000025,-0.03967143198549102,False
1110,swing,two_closes_below_ma5,2022-01-24,2022-02-07,-1045.969924999994,-0.038643853828091705,False
1558,swing,two_closes_below_ma5,2022-02-10,2022-02-14,-2378.4354999999923,-0.03253048968977586,False
3515,swing,prior_swing_low_minus_3pct,2022-02-22,2022-02-23,-4073.9653499999986,-0.08851155759758758,False
2705,swing,two_closes_below_ma5,2022-02-16,2022-02-24,-526.9037375000044,-0.00864212159644345,False
4564,swing,two_closes_below_ma5,2022-02-22,2022-02-24,-1939.5344149999873,-0.0389802864251772,False
