,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2022-02-14,884779.645410625,726868.3219523747,1253434.421327708,746670.8343591399,1164639.5065000001
2022-02-15,884779.645410625,726868.3219523747,1249975.987252708,746735.8343591399,1159374.5065000001
2022-02-16,884779.645410625,726624.0643898747,1255950.987252708,747490.8343591399,1178409.5065000001
2022-02-17,884779.645410625,729599.0643898747,1251158.765352708,748030.8343591399,1179219.5065000001
2022-02-18,884779.645410625,730124.0643898747,1270985.558384583,747990.8343591399,1175979.5065000001
2022-02-21,884779.645410625,729424.0643898747,1275765.558384583,748650.8343591399,1173549.5065000001
2022-02-22,884779.645410625,723689.0288098748,1251185.558384583,746315.8343591399,1157754.5065000001
2022-02-23,884779.645410625,723427.5593098748,1249380.558384583,746630.8343591399,1160994.5065000001
2022-02-24,884779.645410625,715794.0778148748,1212910.558384583,744055.8343591399,1133049.5065000001
2022-02-25,884779.645410625,716074.0004398748,1223400.558384583,742485.5738441399,1130619.5065000001
2022-03-01,884779.645410625,714143.7379648748,1248075.558384583,742485.5738441399,1146414.5065000001
2022-03-02,884779.645410625,714143.7379648748,1266180.558384583,742485.5738441399,1139934.5065000001
2022-03-03,884779.645410625,714286.7059648748,1285505.558384583,742628.5418441399,1142364.5065000001
2022-03-04,884779.645410625,715092.9233898749,1278980.558384583,743473.36029414,1130214.5065000001
2022-03-07,884779.645410625,713092.9233898749,1240365.558384583,741373.36029414,1094169.5065000001
2022-03-08,884779.645410625,711367.9233898749,1220267.842422083,739573.36029414,1071084.5065000001
2022-03-09,884779.645410625,709302.7806373748,1222107.842422083,737436.3031841399,1082019.5065000001
2022-03-10,884779.645410625,709302.7806373748,1232562.842422083,737436.3031841399,1113204.5065000001
2022-03-11,884779.645410625,709302.7806373748,1228282.842422083,737436.3031841399,1097409.5065000001
2022-03-14,884779.645410625,709302.7806373748,1243652.842422083,737436.3031841399,1097409.5065000001
2022-03-15,884779.645410625,709288.2780023748,1218242.842422083,737421.8005491399,1075134.5065000001
2022-03-16,885551.963730625,709113.2780023748,1237377.842422083,737536.4199191398,1079589.5065000001
2022-03-17,886511.963730625,709498.2780023748,1270802.842422083,738281.4199191398,1113609.5065000001
2022-03-18,883268.042450625,709253.2780023748,1281877.842422083,736819.9494391398,1111179.5065000001
2022-03-21,883268.042450625,709218.9155123748,1264987.842422083,736785.5869491398,1118469.5065000001
2022-03-22,883268.042450625,708930.9040523749,1286987.842422083,736497.5754891399,1116849.5065000001
2022-03-23,883268.042450625,708930.9040523749,1296947.842422083,736599.6682735148,1127379.5065000001
2022-03-24,883268.042450625,708850.9040523749,1287527.842422083,736419.6682735148,1126569.5065000001
2022-03-25,883268.042450625,708527.725002375,1272182.7155720831,735949.2084385148,1128189.5065000001
2022-03-28,883268.042450625,708377.725002375,1264112.7155720831,735619.2084385148,1116039.5065000001
2022-03-29,883268.042450625,707948.783662375,1273122.7155720831,734708.9138660148,1117254.5065000001
2022-03-30,883268.042450625,707593.4707623749,1269747.7155720831,734988.0696760148,1131024.5065000001
2022-03-31,883268.042450625,707593.4707623749,1259187.7155720831,735168.2656322648,1127379.5065000001
2022-04-01,883268.042450625,707859.619249875,1260287.7155720831,736087.4353322648,1118064.5065000001
2022-04-06,883268.042450625,707914.978944875,1261592.7155720831,735892.4353322648,1112394.5065000001
2022-04-07,883268.042450625,707456.545392375,1233482.7155720831,734377.4353322648,1092549.5065000001
2022-04-08,883268.042450625,707541.545392375,1236864.0787720832,734482.4353322648,1098624.5065000001
2022-04-11,883268.042450625,706678.694784875,1237919.0787720832,733944.7774122647,1081614.5065000001
2022-04-12,883268.042450625,706567.0564598751,1235469.0787720832,733394.7774122647,1082424.5065000001
2022-04-13,883268.042450625,706515.8795098751,1234064.0787720832,734098.6004622647,1102674.5065000001
2022-04-14,883268.042450625,706635.8795098751,1234724.0787720832,734498.6004622647,1098624.5065000001
2022-04-15,883268.042450625,707055.8795098751,1230484.0787720832,733918.6004622647,1079994.5065000001
