trade_date,market,stock_id,name,foreign_buy,foreign_sell,foreign_net,trust_buy,trust_sell,trust_net,dealer_buy,dealer_sell,dealer_net,raw_json
2026-09-09,TWSE,3481,群創            ,132925576,50950759,81974817,8000,51913,-43913,3454423,855164,6415259,"{""證券代號"":""3481"",""證券名稱"":""群創            "",""外陸資買進股數(不含外資自營商)"":""132,925,576"",""外陸資賣出股數(不含外資自營商)"":""50,950,759"",""外陸資買賣超股數(不含外資自營商)"":""81,974,817"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""8,000"",""投信賣出股數"":""51,913"",""投信買賣超股數"":""-43,913"",""自營商買賣超股數"":""6,415,259"",""自營商買進股數(自行買賣)"":""6,551,000"",""自營商賣出股數(自行買賣)"":""2,735,000"",""自營商買賣超股數(自行買賣)"":""3,816,000"",""自營商買進股數(避險)"":""3,454,423"",""自營商賣出股數(避險)"":""855,164"",""自營商買賣超股數(避險)"":""2,599,259"",""三大法人買賣超股數"":""88,346,163""}"
2026-09-09,TWSE,2409,友達            ,222443824,157311110,65132714,0,7705,-7705,5195469,5902446,-1655932,"{""證券代號"":""2409"",""證券名稱"":""友達            "",""外陸資買進股數(不含外資自營商)"":""222,443,824"",""外陸資賣出股數(不含外資自營商)"":""157,311,110"",""外陸資買賣超股數(不含外資自營商)"":""65,132,714"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""7,705"",""投信買賣超股數"":""-7,705"",""自營商買賣超股數"":""-1,655,932"",""自營商買進股數(自行買賣)"":""1,543,000"",""自營商賣出股數(自行買賣)"":""2,491,955"",""自營商買賣超股數(自行買賣)"":""-948,955"",""自營商買進股數(避險)"":""5,195,469"",""自營商賣出股數(避險)"":""5,902,446"",""自營商買賣超股數(避險)"":""-706,977"",""三大法人買賣超股數"":""63,469,077""}"
2026-09-09,TWSE,2303,聯電            ,96043714,81400563,14643151,6200000,1155866,5044134,1704959,1377299,492660,"{""證券代號"":""2303"",""證券名稱"":""聯電            "",""外陸資買進股數(不含外資自營商)"":""96,043,714"",""外陸資賣出股數(不含外資自營商)"":""81,400,563"",""外陸資買賣超股數(不含外資自營商)"":""14,643,151"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""6,200,000"",""投信賣出股數"":""1,155,866"",""投信買賣超股數"":""5,044,134"",""自營商買賣超股數"":""492,660"",""自營商買進股數(自行買賣)"":""5,036,000"",""自營商賣出股數(自行買賣)"":""4,871,000"",""自營商買賣超股數(自行買賣)"":""165,000"",""自營商買進股數(避險)"":""1,704,959"",""自營商賣出股數(避險)"":""1,377,299"",""自營商買賣超股數(避險)"":""327,660"",""三大法人買賣超股數"":""20,179,945""}"
2026-09-09,TWSE,1409,新纖            ,31249488,13273516,17975972,0,0,0,685268,194697,488571,"{""證券代號"":""1409"",""證券名稱"":""新纖            "",""外陸資買進股數(不含外資自營商)"":""31,249,488"",""外陸資賣出股數(不含外資自營商)"":""13,273,516"",""外陸資買賣超股數(不含外資自營商)"":""17,975,972"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""488,571"",""自營商買進股數(自行買賣)"":""19,000"",""自營商賣出股數(自行買賣)"":""21,000"",""自營商買賣超股數(自行買賣)"":""-2,000"",""自營商買進股數(避險)"":""685,268"",""自營商賣出股數(避險)"":""194,697"",""自營商買賣超股數(避險)"":""490,571"",""三大法人買賣超股數"":""18,464,543""}"
2026-09-09,TWSE,1101,台泥            ,25420616,8020936,17399680,100000,0,100000,257020,92029,106991,"{""證券代號"":""1101"",""證券名稱"":""台泥            "",""外陸資買進股數(不含外資自營商)"":""25,420,616"",""外陸資賣出股數(不含外資自營商)"":""8,020,936"",""外陸資買賣超股數(不含外資自營商)"":""17,399,680"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""100,000"",""投信賣出股數"":""0"",""投信買賣超股數"":""100,000"",""自營商買賣超股數"":""106,991"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""58,000"",""自營商買賣超股數(自行買賣)"":""-58,000"",""自營商買進股數(避險)"":""257,020"",""自營商賣出股數(避險)"":""92,029"",""自營商買賣超股數(避險)"":""164,991"",""三大法人買賣超股數"":""17,606,671""}"
2026-09-09,TWSE,6505,台塑化          ,22168893,8920921,13247972,33000,1053,31947,1440586,285329,1592417,"{""證券代號"":""6505"",""證券名稱"":""台塑化          "",""外陸資買進股數(不含外資自營商)"":""22,168,893"",""外陸資賣出股數(不含外資自營商)"":""8,920,921"",""外陸資買賣超股數(不含外資自營商)"":""13,247,972"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""33,000"",""投信賣出股數"":""1,053"",""投信買賣超股數"":""31,947"",""自營商買賣超股數"":""1,592,417"",""自營商買進股數(自行買賣)"":""803,442"",""自營商賣出股數(自行買賣)"":""366,282"",""自營商買賣超股數(自行買賣)"":""437,160"",""自營商買進股數(避險)"":""1,440,586"",""自營商賣出股數(避險)"":""285,329"",""自營商買賣超股數(避險)"":""1,155,257"",""三大法人買賣超股數"":""14,872,336""}"
2026-09-09,TWSE,2002,中鋼            ,20405756,8354688,12051068,154000,59000,95000,72655,559395,2385260,"{""證券代號"":""2002"",""證券名稱"":""中鋼            "",""外陸資買進股數(不含外資自營商)"":""20,405,756"",""外陸資賣出股數(不含外資自營商)"":""8,354,688"",""外陸資買賣超股數(不含外資自營商)"":""12,051,068"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""154,000"",""投信賣出股數"":""59,000"",""投信買賣超股數"":""95,000"",""自營商買賣超股數"":""2,385,260"",""自營商買進股數(自行買賣)"":""3,000,000"",""自營商賣出股數(自行買賣)"":""128,000"",""自營商買賣超股數(自行買賣)"":""2,872,000"",""自營商買進股數(避險)"":""72,655"",""自營商賣出股數(避險)"":""559,395"",""自營商買賣超股數(避險)"":""-486,740"",""三大法人買賣超股數"":""14,531,328""}"
2026-09-09,TWSE,2382,廣達            ,21529412,8430668,13098744,27000,21455,5545,178713,49300,493559,"{""證券代號"":""2382"",""證券名稱"":""廣達            "",""外陸資買進股數(不含外資自營商)"":""21,529,412"",""外陸資賣出股數(不含外資自營商)"":""8,430,668"",""外陸資買賣超股數(不含外資自營商)"":""13,098,744"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""27,000"",""投信賣出股數"":""21,455"",""投信買賣超股數"":""5,545"",""自營商買賣超股數"":""493,559"",""自營商買進股數(自行買賣)"":""722,146"",""自營商賣出股數(自行買賣)"":""358,000"",""自營商買賣超股數(自行買賣)"":""364,146"",""自營商買進股數(避險)"":""178,713"",""自營商賣出股數(避險)"":""49,300"",""自營商買賣超股數(避險)"":""129,413"",""三大法人買賣超股數"":""13,597,848""}"
2026-09-09,TWSE,2834,臺企銀          ,37672810,24338389,13334421,11000,54000,-43000,98000,6001,-2001,"{""證券代號"":""2834"",""證券名稱"":""臺企銀          "",""外陸資買進股數(不含外資自營商)"":""37,672,810"",""外陸資賣出股數(不含外資自營商)"":""24,338,389"",""外陸資買賣超股數(不含外資自營商)"":""13,334,421"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""11,000"",""投信賣出股數"":""54,000"",""投信買賣超股數"":""-43,000"",""自營商買賣超股數"":""-2,001"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""94,000"",""自營商買賣超股數(自行買賣)"":""-94,000"",""自營商買進股數(避險)"":""98,000"",""自營商賣出股數(避險)"":""6,001"",""自營商買賣超股數(避險)"":""91,999"",""三大法人買賣超股數"":""13,289,420""}"
2026-09-09,TWSE,1326,台化            ,20221524,7940813,12280711,151000,0,151000,443661,104851,540219,"{""證券代號"":""1326"",""證券名稱"":""台化            "",""外陸資買進股數(不含外資自營商)"":""20,221,524"",""外陸資賣出股數(不含外資自營商)"":""7,940,813"",""外陸資買賣超股數(不含外資自營商)"":""12,280,711"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""151,000"",""投信賣出股數"":""0"",""投信買賣超股數"":""151,000"",""自營商買賣超股數"":""540,219"",""自營商買進股數(自行買賣)"":""382,000"",""自營商賣出股數(自行買賣)"":""180,591"",""自營商買賣超股數(自行買賣)"":""201,409"",""自營商買進股數(避險)"":""443,661"",""自營商賣出股數(避險)"":""104,851"",""自營商買賣超股數(避險)"":""338,810"",""三大法人買賣超股數"":""12,971,930""}"
