trade_date,market,stock_id,name,foreign_buy,foreign_sell,foreign_net,trust_buy,trust_sell,trust_net,dealer_buy,dealer_sell,dealer_net,raw_json
2026-09-10,TWSE,6770,力積電          ,58790090,30789234,28000856,0,21000,-21000,2186412,547174,2199738,"{""證券代號"":""6770"",""證券名稱"":""力積電          "",""外陸資買進股數(不含外資自營商)"":""58,790,090"",""外陸資賣出股數(不含外資自營商)"":""30,789,234"",""外陸資買賣超股數(不含外資自營商)"":""28,000,856"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""21,000"",""投信買賣超股數"":""-21,000"",""自營商買賣超股數"":""2,199,738"",""自營商買進股數(自行買賣)"":""1,307,500"",""自營商賣出股數(自行買賣)"":""747,000"",""自營商買賣超股數(自行買賣)"":""560,500"",""自營商買進股數(避險)"":""2,186,412"",""自營商賣出股數(避險)"":""547,174"",""自營商買賣超股數(避險)"":""1,639,238"",""三大法人買賣超股數"":""30,179,594""}"
2026-09-10,TWSE,2409,友達            ,163440348,144905345,18535003,0,40451,-40451,8427315,3678918,5147393,"{""證券代號"":""2409"",""證券名稱"":""友達            "",""外陸資買進股數(不含外資自營商)"":""163,440,348"",""外陸資賣出股數(不含外資自營商)"":""144,905,345"",""外陸資買賣超股數(不含外資自營商)"":""18,535,003"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""40,451"",""投信買賣超股數"":""-40,451"",""自營商買賣超股數"":""5,147,393"",""自營商買進股數(自行買賣)"":""3,047,996"",""自營商賣出股數(自行買賣)"":""2,649,000"",""自營商買賣超股數(自行買賣)"":""398,996"",""自營商買進股數(避險)"":""8,427,315"",""自營商賣出股數(避險)"":""3,678,918"",""自營商買賣超股數(避險)"":""4,748,397"",""三大法人買賣超股數"":""23,641,945""}"
2026-09-10,TWSE,2892,第一金          ,18604946,7963207,10641739,5941000,6624,5934376,272000,128119,87881,"{""證券代號"":""2892"",""證券名稱"":""第一金          "",""外陸資買進股數(不含外資自營商)"":""18,604,946"",""外陸資賣出股數(不含外資自營商)"":""7,963,207"",""外陸資買賣超股數(不含外資自營商)"":""10,641,739"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""5,941,000"",""投信賣出股數"":""6,624"",""投信買賣超股數"":""5,934,376"",""自營商買賣超股數"":""87,881"",""自營商買進股數(自行買賣)"":""336,000"",""自營商賣出股數(自行買賣)"":""392,000"",""自營商買賣超股數(自行買賣)"":""-56,000"",""自營商買進股數(避險)"":""272,000"",""自營商賣出股數(避險)"":""128,119"",""自營商買賣超股數(避險)"":""143,881"",""三大法人買賣超股數"":""16,663,996""}"
2026-09-10,TWSE,2883,凱基金          ,32732728,18954147,13778581,608000,6373,601627,357051,287080,-236164,"{""證券代號"":""2883"",""證券名稱"":""凱基金          "",""外陸資買進股數(不含外資自營商)"":""32,732,728"",""外陸資賣出股數(不含外資自營商)"":""18,954,147"",""外陸資買賣超股數(不含外資自營商)"":""13,778,581"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""608,000"",""投信賣出股數"":""6,373"",""投信買賣超股數"":""601,627"",""自營商買賣超股數"":""-236,164"",""自營商買進股數(自行買賣)"":""10,000"",""自營商賣出股數(自行買賣)"":""316,135"",""自營商買賣超股數(自行買賣)"":""-306,135"",""自營商買進股數(避險)"":""357,051"",""自營商賣出股數(避險)"":""287,080"",""自營商買賣超股數(避險)"":""69,971"",""三大法人買賣超股數"":""14,144,044""}"
2026-09-10,TWSE,1312,國喬            ,19497336,9464000,10033336,0,0,0,390234,471909,12325,"{""證券代號"":""1312"",""證券名稱"":""國喬            "",""外陸資買進股數(不含外資自營商)"":""19,497,336"",""外陸資賣出股數(不含外資自營商)"":""9,464,000"",""外陸資買賣超股數(不含外資自營商)"":""10,033,336"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""0"",""投信賣出股數"":""0"",""投信買賣超股數"":""0"",""自營商買賣超股數"":""12,325"",""自營商買進股數(自行買賣)"":""459,000"",""自營商賣出股數(自行買賣)"":""365,000"",""自營商買賣超股數(自行買賣)"":""94,000"",""自營商買進股數(避險)"":""390,234"",""自營商賣出股數(避險)"":""471,909"",""自營商買賣超股數(避險)"":""-81,675"",""三大法人買賣超股數"":""10,045,661""}"
2026-09-10,TWSE,1303,南亞            ,24821504,17465908,7355596,2168000,243000,1925000,348347,332986,-29639,"{""證券代號"":""1303"",""證券名稱"":""南亞            "",""外陸資買進股數(不含外資自營商)"":""24,821,504"",""外陸資賣出股數(不含外資自營商)"":""17,465,908"",""外陸資買賣超股數(不含外資自營商)"":""7,355,596"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""2,168,000"",""投信賣出股數"":""243,000"",""投信買賣超股數"":""1,925,000"",""自營商買賣超股數"":""-29,639"",""自營商買進股數(自行買賣)"":""519,000"",""自營商賣出股數(自行買賣)"":""564,000"",""自營商買賣超股數(自行買賣)"":""-45,000"",""自營商買進股數(避險)"":""348,347"",""自營商賣出股數(避險)"":""332,986"",""自營商買賣超股數(避險)"":""15,361"",""三大法人買賣超股數"":""9,250,957""}"
2026-09-10,TWSE,2812,台中銀          ,11781985,3074388,8707597,3000,264846,-261846,59000,161683,-174683,"{""證券代號"":""2812"",""證券名稱"":""台中銀          "",""外陸資買進股數(不含外資自營商)"":""11,781,985"",""外陸資賣出股數(不含外資自營商)"":""3,074,388"",""外陸資買賣超股數(不含外資自營商)"":""8,707,597"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""3,000"",""投信賣出股數"":""264,846"",""投信買賣超股數"":""-261,846"",""自營商買賣超股數"":""-174,683"",""自營商買進股數(自行買賣)"":""0"",""自營商賣出股數(自行買賣)"":""72,000"",""自營商買賣超股數(自行買賣)"":""-72,000"",""自營商買進股數(避險)"":""59,000"",""自營商賣出股數(避險)"":""161,683"",""自營商買賣超股數(避險)"":""-102,683"",""三大法人買賣超股數"":""8,271,068""}"
2026-09-10,TWSE,2884,玉山金          ,38867019,37492448,1374571,6121000,10909,6110091,328989,232977,-165819,"{""證券代號"":""2884"",""證券名稱"":""玉山金          "",""外陸資買進股數(不含外資自營商)"":""38,867,019"",""外陸資賣出股數(不含外資自營商)"":""37,492,448"",""外陸資買賣超股數(不含外資自營商)"":""1,374,571"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""6,121,000"",""投信賣出股數"":""10,909"",""投信買賣超股數"":""6,110,091"",""自營商買賣超股數"":""-165,819"",""自營商買進股數(自行買賣)"":""407,000"",""自營商賣出股數(自行買賣)"":""668,831"",""自營商買賣超股數(自行買賣)"":""-261,831"",""自營商買進股數(避險)"":""328,989"",""自營商賣出股數(避險)"":""232,977"",""自營商買賣超股數(避險)"":""96,012"",""三大法人買賣超股數"":""7,318,843""}"
2026-09-10,TWSE,1101,台泥            ,13428000,6628000,6800000,229000,3000,226000,254644,119258,68486,"{""證券代號"":""1101"",""證券名稱"":""台泥            "",""外陸資買進股數(不含外資自營商)"":""13,428,000"",""外陸資賣出股數(不含外資自營商)"":""6,628,000"",""外陸資買賣超股數(不含外資自營商)"":""6,800,000"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""229,000"",""投信賣出股數"":""3,000"",""投信買賣超股數"":""226,000"",""自營商買賣超股數"":""68,486"",""自營商買進股數(自行買賣)"":""100"",""自營商賣出股數(自行買賣)"":""67,000"",""自營商買賣超股數(自行買賣)"":""-66,900"",""自營商買進股數(避險)"":""254,644"",""自營商賣出股數(避險)"":""119,258"",""自營商買賣超股數(避險)"":""135,386"",""三大法人買賣超股數"":""7,094,486""}"
2026-09-10,TWSE,2886,兆豐金          ,16018928,9283902,6735026,358000,207264,150736,235000,131000,3145,"{""證券代號"":""2886"",""證券名稱"":""兆豐金          "",""外陸資買進股數(不含外資自營商)"":""16,018,928"",""外陸資賣出股數(不含外資自營商)"":""9,283,902"",""外陸資買賣超股數(不含外資自營商)"":""6,735,026"",""外資自營商買進股數"":""0"",""外資自營商賣出股數"":""0"",""外資自營商買賣超股數"":""0"",""投信買進股數"":""358,000"",""投信賣出股數"":""207,264"",""投信買賣超股數"":""150,736"",""自營商買賣超股數"":""3,145"",""自營商買進股數(自行買賣)"":""272,000"",""自營商賣出股數(自行買賣)"":""372,855"",""自營商買賣超股數(自行買賣)"":""-100,855"",""自營商買進股數(避險)"":""235,000"",""自營商賣出股數(避險)"":""131,000"",""自營商買賣超股數(避險)"":""104,000"",""三大法人買賣超股數"":""6,888,907""}"
