trade_date,market,stock_id,name,open,high,low,close,volume,trading_value
2026-09-17,TPEX,00411A,主動統一前沿科技,9.9,9.97,9.88,9.91,16513681,163955195
2026-09-17,TPEX,006201,元大富櫃50,45.45,45.68,44.2,44.34,260946,11664718
2026-09-17,TPEX,00679B,元大美債20年,25.58,25.63,25.52,25.52,14963348,382767757
2026-09-17,TPEX,00687B,國泰20年美債,26.6,26.63,26.52,26.54,10320652,274393727
2026-09-17,TPEX,00687C,國泰20年美債+櫃U,8.98,8.98,8.98,8.98,25000,224500
2026-09-17,TPEX,00694B,富邦美債1-3,41.65,41.76,41.65,41.73,121846,5085901
2026-09-17,TPEX,00695B,富邦美債7-10,34.15,34.25,34.15,34.23,197272,6750773
2026-09-17,TPEX,00696B,富邦美債20年,27.86,27.92,27.8,27.8,795316,22152026
2026-09-17,TPEX,00697B,元大美債7-10,34.74,34.83,34.74,34.79,433522,15089929
2026-09-17,TPEX,00719B,元大美債1-3,31.03,31.07,31.03,31.07,2315247,71899737
2026-09-17,TPEX,00720B,元大投資級公司債,31.86,31.94,31.79,31.79,2979158,94915730
2026-09-17,TPEX,00722B,群益投資級電信債,34.15,34.29,34.15,34.16,2546754,87070711
2026-09-17,TPEX,00723B,群益投資級科技債,29.25,29.44,29.25,29.29,153009,4487095
2026-09-17,TPEX,00724B,群益投資級金融債,32.44,32.57,32.44,32.46,3548730,115254255
2026-09-17,TPEX,00725B,國泰投資級公司債,33.91,34.0,33.84,33.88,2121315,71954797
2026-09-17,TPEX,00726B,國泰新興投等債,31.88,31.93,31.82,31.82,165607,5275191
2026-09-17,TPEX,00727B,國泰優選非投等債,39.33,39.38,39.32,39.32,127464,5012174
2026-09-17,TPEX,00734B,台新JPM新興債,15.32,15.32,15.31,15.31,248012,3799483
2026-09-17,TPEX,00740B,富邦全球投等債,37.2,37.2,37.05,37.05,1704367,63219900
2026-09-17,TPEX,00741B,富邦全球非投等債,36.97,37.0,36.96,36.96,118318,4374547
2026-09-17,TPEX,00746B,富邦A級公司債,34.23,34.23,34.14,34.15,232137,7939860
2026-09-17,TPEX,00749B,凱基新興債10+,30.54,30.56,30.54,30.56,101064,3086525
2026-09-17,TPEX,00750B,凱基科技債10+,31.63,31.63,31.63,31.63,100000,3163000
2026-09-17,TPEX,00751B,元大AAA至A公司債,30.31,30.38,30.25,30.26,3835850,116297668
2026-09-17,TPEX,00754B,群益AAA-AA公司債,31.47,31.47,31.37,31.38,104008,3263602
2026-09-17,TPEX,00755B,群益投資級公用債,31.24,31.49,31.24,31.41,134245,4216184
2026-09-17,TPEX,00756B,群益投等新興公債,29.92,30.0,29.89,29.89,179913,5384153
2026-09-17,TPEX,00758B,復華能源債,49.98,49.98,49.98,49.98,100000,4998000
2026-09-17,TPEX,00759B,復華製藥債,52.45,52.45,52.35,52.35,101999,5349697
2026-09-17,TPEX,00760B,復華新興企業債,51.55,51.8,51.5,51.8,122777,6352402
2026-09-17,TPEX,00761B,國泰A級公司債,32.9,32.91,32.83,32.83,263171,8645627
2026-09-17,TPEX,00764B,群益25年美債,26.53,26.56,26.45,26.45,3472730,91964022
2026-09-17,TPEX,00768B,復華20年美債,47.52,47.68,47.5,47.5,1447360,68935069
2026-09-17,TPEX,00772B,中信高評級公司債,32.12,32.24,32.11,32.11,1421287,45745051
2026-09-17,TPEX,00773B,中信優先金融債,34.31,34.37,34.29,34.3,1741586,59756067
2026-09-17,TPEX,00777B,凱基AAA至A公司債,30.94,31.01,30.94,31.01,102000,3159950
2026-09-17,TPEX,00778B,凱基金融債20+,32.85,32.88,32.81,32.88,102000,3353660
2026-09-17,TPEX,00779B,凱基美債25+,26.75,26.8,26.71,26.71,318000,8506930
2026-09-17,TPEX,00780B,國泰A級金融債,35.97,36.0,35.95,36.0,116003,4175629
2026-09-17,TPEX,00781B,國泰A級科技債,26.44,26.66,26.44,26.54,314584,8357599
2026-09-17,TPEX,00782B,國泰A級公用債,29.26,29.26,29.2,29.2,320174,9357295
2026-09-17,TPEX,00785B,富邦金融投等債,33.54,33.54,33.54,33.54,50527,1694603
2026-09-17,TPEX,00786B,元大10年IG銀行債,31.54,31.54,31.35,31.42,48578,1526134
2026-09-17,TPEX,00787B,元大10年IG醫療債,31.58,31.58,31.58,31.58,1488,46902
2026-09-17,TPEX,00788B,元大10年IG電能債,28.94,28.98,28.94,28.94,25339,733503
2026-09-17,TPEX,00789B,復華公司債A3,45.99,45.99,45.99,45.99,102030,4692491
2026-09-17,TPEX,00791B,復華信用債1-5,56.6,56.6,56.55,56.55,101000,5716550
2026-09-17,TPEX,00792B,群益A級公司債,30.2,30.29,30.14,30.14,154347,4659818
2026-09-17,TPEX,00793B,群益AAA-A醫療債,29.45,29.55,29.45,29.55,55200,1630846
2026-09-17,TPEX,00795B,中信美國公債20年,25.68,25.75,25.64,25.64,6294462,161671863
2026-09-17,TPEX,00799B,國泰A級醫療債,28.14,28.35,28.14,28.3,121219,3434892
2026-09-17,TPEX,00834B,第一金金融債10+,32.95,32.95,32.95,32.95,100000,3295000
2026-09-17,TPEX,00836B,永豐10年A公司債,27.81,27.81,27.81,27.81,1023,28441
2026-09-17,TPEX,00840B,凱基IG精選15+,28.5,28.5,28.5,28.5,100000,2850000
2026-09-17,TPEX,00841B,凱基AAA-AA公司債,27.3,27.3,27.3,27.3,100000,2730000
2026-09-17,TPEX,00842B,台新美元銀行債,29.08,29.08,29.05,29.07,39203,1139395
2026-09-17,TPEX,00844B,台新15年IG金融債,30.18,30.18,30.18,30.18,80000,2414400
2026-09-17,TPEX,00845B,富邦新興投等債,32.16,32.21,32.16,32.21,101000,3253160
2026-09-17,TPEX,00846B,富邦歐洲銀行債,34.87,34.87,34.8,34.85,102104,3558310
2026-09-17,TPEX,00847B,中信美國市政債,24.2,24.3,24.18,24.2,623000,15082070
2026-09-17,TPEX,00848B,中信新興亞洲債,33.11,33.11,33.07,33.07,504081,16686964
2026-09-17,TPEX,00849B,中信EM主權債0-5,37.31,37.37,37.31,37.35,515403,19252234
2026-09-17,TPEX,00853B,統一美債10年Aa-A,26.51,26.51,26.31,26.31,1179419,31052978
2026-09-17,TPEX,00856B,永豐1-3年美公債,37.44,37.44,37.43,37.43,70024,2621094
2026-09-17,TPEX,00857B,永豐20年美公債,22.33,22.4,22.31,22.31,648337,14500327
2026-09-17,TPEX,00859B,群益0-1年美債,40.73,40.74,40.62,40.69,3196599,130038776
2026-09-17,TPEX,00860B,群益1-5Y投資級債,37.84,37.86,37.84,37.84,106097,4014831
2026-09-17,TPEX,00862B,中信投資級公司債,30.3,30.3,30.23,30.25,588101,17792023
2026-09-17,TPEX,00863B,中信全球電信債,30.4,30.41,30.4,30.4,502038,15262952
2026-09-17,TPEX,00864B,中信美國公債0-1,46.25,46.28,46.16,46.25,1488390,68794164
2026-09-17,TPEX,00867B,台新A-BBB電信債,29.17,29.17,29.17,29.17,1016,29642
2026-09-17,TPEX,00870B,元大15年EM主權債,27.16,27.16,27.12,27.12,2000,54280
2026-09-17,TPEX,00884B,中信低碳新興債,28.36,28.37,28.29,28.29,529667,14995901
2026-09-17,TPEX,00890B,凱基ESG BBB債15+,30.96,30.99,30.96,30.96,106129,3287874
2026-09-17,TPEX,00931B,統一美債20年,12.94,12.96,12.9,12.9,3383968,43778929
2026-09-17,TPEX,00933B,國泰10Y+金融債,15.35,15.4,15.34,15.34,5789802,88994935
2026-09-17,TPEX,00937B,群益ESG投等債20+,14.24,14.29,14.21,14.21,52110094,742853278
2026-09-17,TPEX,00942B,台新美A公司債20+,13.62,13.69,13.62,13.65,1738947,23748429
2026-09-17,TPEX,00948B,中信優息投資級債,9.09,9.12,9.08,9.09,4670776,42489541
2026-09-17,TPEX,00950B,凱基A級公司債,13.5,13.55,13.5,13.5,1031028,13942199
2026-09-17,TPEX,00957B,兆豐US優選投等債,12.91,12.92,12.88,12.88,53634,691763
2026-09-17,TPEX,00958B,永豐ESG銀行債15+,8.96,8.97,8.95,8.95,243521,2181258
2026-09-17,TPEX,00959B,大華投等美債15Y+,9.02,9.08,9.02,9.04,1269251,11486527
2026-09-17,TPEX,00966B,統一ESG投等債15+,13.39,13.45,13.39,13.41,272098,3653754
2026-09-17,TPEX,00967B,元大優息美債,8.97,8.97,8.79,8.79,733591,6462263
2026-09-17,TPEX,00968B,元大優息投等債,8.95,8.98,8.94,8.95,1515278,13573613
2026-09-17,TPEX,00969B,元大零息超長美債,7.9,7.95,7.9,7.92,545260,4326057
2026-09-17,TPEX,00970B,台新BBB投等債20+,8.98,9.02,8.98,8.98,1382088,12428549
2026-09-17,TPEX,009806,台新標普500,13.58,13.6,13.58,13.6,10684,145374
2026-09-17,TPEX,009807,台新標普科技精選,16.78,16.84,16.78,16.84,6363,107005
2026-09-17,TPEX,00980B,台新特選IG債10+,9.14,9.14,9.11,9.11,882011,8048879
2026-09-17,TPEX,00980D,主動聯博投等入息,19.8,19.87,19.8,19.85,617745,12260906
2026-09-17,TPEX,00980T,平衡凱基美國TOP,11.8,11.8,11.78,11.78,124002,1462814
2026-09-17,TPEX,009814,富邦標普500,11.29,11.31,11.29,11.31,609972,6893702
2026-09-17,TPEX,009815,大華美國MAG7+,11.52,11.56,11.52,11.52,1431372,16511072
2026-09-17,TPEX,00981B,第一金優選非投債,9.12,9.13,9.12,9.13,10663026,97307456
2026-09-17,TPEX,00981D,主動中信非投等債,10.19,10.22,10.19,10.2,2483750,25354960
2026-09-17,TPEX,009822,華南永昌未來金融,9.52,9.52,9.48,9.5,100267,951172
2026-09-17,TPEX,009823,群益S&P500,10.35,10.36,10.34,10.34,2121985,21962689
2026-09-17,TPEX,009825,聯邦美國金融創新,9.94,9.97,9.89,9.97,273165,2718691
2026-09-17,TPEX,00982B,FT投資級債20+,9.38,9.41,9.38,9.4,77113,724493
2026-09-17,TPEX,00983B,大華優利美公債20,15.0,15.02,14.97,14.97,227351,3406032
2026-09-17,TPEX,00984B,大華優利美A債15,15.67,15.73,15.67,15.67,1109354,17424804
2026-09-17,TPEX,00985D,主動貝萊德優投等,9.73,9.75,9.71,9.72,997554,9693814
2026-09-17,TPEX,00986B,FT金融債10+,9.43,9.45,9.43,9.45,39039,368382
2026-09-17,TPEX,00986D,主動復華金融債息,14.18,14.2,14.17,14.17,120035,1701767
2026-09-17,TPEX,00987B,野村10+澳洲公債,15.58,15.59,15.56,15.59,361687,5632740
2026-09-17,TPEX,00987D,主動統一美債量化,9.75,9.85,9.75,9.82,998779,9814819
2026-09-17,TPEX,00988B,玉山嚴選非投債,19.35,19.4,19.34,19.37,1108703,21475571
2026-09-17,TPEX,00989B,台新美國非投等債,9.92,9.97,9.92,9.97,1526875,15206326
2026-09-17,TPEX,00990B,國泰收益非投等債,9.97,9.98,9.96,9.98,3048260,30392439
2026-09-17,TPEX,00998A,主動復華金融股息,17.44,17.44,17.3,17.3,11431387,198194246
2026-09-17,TPEX,1240,茂生農經,55.1,55.7,55.1,55.6,5217,289126
2026-09-17,TPEX,1259,安心,63.5,64.5,63.5,64.5,17335,1111885
